rule_id,room_a,room_b,relationship,reason_code,reason_text,bhk_applicability,priority,door_required,door_width_m,min_shared_wall_m,facing_dependency,vastu_compliance,nbc_section
99,courtyard,store,PREFERRED_ADJACENT,FUNCTIONAL,Store accessible from courtyard provides service zone storage without entering main house areas in Tamil Nadu traditional floor plans.,"3BHK,4BHK",1,1,0.75,0.9,ANY,0,
100,living,master_bedroom,MUST_NOT_BE_ADJACENT,PRIVACY,Direct adjacency between living and master bedroom compromises acoustic privacy; passage or buffer space must intervene per planning norms.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
101,living,toilet_common,MUST_NOT_BE_ADJACENT,VASTU,Vastu forbids toilet opening from living as it brings negative energy to the main social gathering space of the dwelling.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
102,living,toilet_attached,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet must not open from living hall to preserve social space dignity and vastu compliance in all BHK types.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
103,dining,toilet_attached,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet must not share wall with dining per vastu shastra to maintain food zone purity in Tamil Nadu residences.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
104,dining,passage,SHOULD_BE_ADJACENT,CIRCULATION,Dining accessible from passage ensures convenient meal-time access for all family members from their respective private zones.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
105,dining,courtyard,SHOULD_BE_ADJACENT,VASTU,Dining adjacent to courtyard allows natural light during meals and connects eating area to positive central energy per vastu.,"3BHK,4BHK",2,0,,1.5,ANY,1,
106,kitchen,passage,SHOULD_BE_ADJACENT,CIRCULATION,Kitchen accessible from internal passage allows independent service access without traversing living or dining in larger unit layouts.,"3BHK,4BHK",2,1,0.75,0.9,ANY,0,
107,kitchen,verandah,MUST_NOT_BE_ADJACENT,VASTU,Kitchen should not open to front verandah per vastu as cooking zone exposure to external gaze is considered inauspicious.,"1BHK,2BHK,3BHK,4BHK",3,0,,,ANY,1,
108,bedroom_2,passage,MUST_SHARE_WALL,CIRCULATION,Second bedroom opening from passage maintains private zone integrity and avoids direct living space visual exposure in homes.,"2BHK,3BHK,4BHK",4,1,0.9,0.9,ANY,0,
109,bedroom_3,passage,MUST_SHARE_WALL,CIRCULATION,Third bedroom accessed from passage ensures independent private entry in 3BHK Tamil Nadu apartment and independent house floor plans.,"3BHK,4BHK",4,1,0.9,0.9,ANY,0,
110,bedroom_4,passage,MUST_SHARE_WALL,CIRCULATION,Fourth bedroom must open from passage for independent access ensuring privacy for all bedroom occupants in 4BHK premium units.,4BHK,4,1,0.9,0.9,ANY,0,
111,master_bedroom,dining,MUST_NOT_BE_ADJACENT,PRIVACY,Master bedroom must not adjoin dining to prevent mealtime noise disturbance and maintain sleeping zone acoustic isolation.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
112,bedroom_2,dining,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom separation from dining prevents food odour and conversation noise from disturbing bedroom rest zone in homes.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
113,bedroom_3,dining,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom should avoid dining adjacency for acoustic comfort and sleeping zone privacy in 3BHK and 4BHK layouts.,"3BHK,4BHK",2,0,,,ANY,0,
114,bedroom_4,dining,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom must be acoustically separated from dining area to preserve premium quiet sleeping zone in 4BHK configurations.,4BHK,2,0,,,ANY,0,
115,staircase,dining,PREFERRED_ADJACENT,CIRCULATION,Staircase near dining enables convenient upper floor access during meal gatherings in multi-storey Tamil Nadu independent houses.,"3BHK,4BHK",1,0,,,ANY,0,
116,staircase,passage,MUST_SHARE_WALL,CIRCULATION,Staircase opening from passage ensures organized vertical circulation without disrupting room privacy per NBC 2016 egress standards.,"2BHK,3BHK,4BHK",4,0,,1.2,ANY,0,"Part 4, Cl 4.6"
117,staircase,bedroom_4,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom in 4BHK must be buffered from staircase traffic to ensure quiet sleeping environment for premium room occupants.,4BHK,2,0,,,ANY,0,
118,staircase,pooja,MUST_NOT_BE_ADJACENT,VASTU,Staircase must not adjoin pooja room as descending energy from stairs disrupts sacred worship space per vastu shastra principles.,"2BHK,3BHK,4BHK",3,0,,,ANY,1,
119,staircase,store,PREFERRED_ADJACENT,FUNCTIONAL,Under-staircase storage utilization is efficient in compact Tamil Nadu homes making staircase-store adjacency functionally advantageous.,"2BHK,3BHK,4BHK",1,1,0.6,,ANY,0,
120,toilet_common,bedroom_3,SHOULD_BE_ADJACENT,FUNCTIONAL,Common toilet near third bedroom in 3BHK provides convenient nighttime access without long corridor walks for bedroom occupants.,"3BHK,4BHK",3,0,,,ANY,0,
121,toilet_common,bedroom_4,SHOULD_BE_ADJACENT,FUNCTIONAL,Fourth bedroom proximity to common toilet in 4BHK ensures all bedrooms have reasonable toilet access within acceptable walking distance.,4BHK,3,0,,,ANY,0,
122,toilet_attached,bedroom_2,MUST_SHARE_WALL,FUNCTIONAL,Second bedroom ensuite toilet in 3BHK provides dedicated private bathroom enhancing resident comfort per modern Tamil Nadu flat standards.,"3BHK,4BHK",4,1,0.75,1.2,ANY,0,"Part 4, Cl 4.2"
123,toilet_attached,bedroom_3,PREFERRED_ADJACENT,FUNCTIONAL,Third bedroom attached toilet in premium 4BHK provides ensuite comfort for each bedroom typical of luxury Tamil Nadu apartments.,4BHK,3,1,0.75,1.2,ANY,0,
124,utility,toilet_attached,PREFERRED_ADJACENT,PLUMBING,Utility and attached toilet back-to-back placement consolidates drain pipes and reduces wet zone construction cost in residences.,"2BHK,3BHK,4BHK",3,0,,0.9,ANY,0,"Part 9, Cl 3.2"
125,utility,dining,MUST_NOT_BE_ADJACENT,FUNCTIONAL,Utility room laundry noise and chemical odours must not penetrate dining area; service zone separation is essential in planning.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
126,utility,living,MUST_NOT_BE_ADJACENT,FUNCTIONAL,Utility room must not open from living area to prevent service zone visibility and laundry noise in main social space.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
127,store,bedroom_2,PREFERRED_ADJACENT,FUNCTIONAL,Store room near second bedroom provides convenient linen and personal storage access in 2BHK and 3BHK apartment layouts.,"2BHK,3BHK",1,1,0.75,0.9,ANY,0,
128,store,master_bedroom,PREFERRED_ADJACENT,FUNCTIONAL,Store adjacent to master bedroom functions as walk-in closet or personal storage in premium Tamil Nadu residential configurations.,4BHK,1,1,0.75,0.9,ANY,0,
129,store,toilet_common,MUST_NOT_BE_ADJACENT,SAFETY,Store room must not adjoin toilet to prevent moisture damage to stored items and maintain dry storage conditions in homes.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
130,puja_room,passage,SHOULD_BE_ADJACENT,CIRCULATION,Puja room opening from passage provides shared family access to worship space without entering private bedroom zones in homes.,"3BHK,4BHK",3,1,0.75,0.9,ANY,1,
131,puja_room,courtyard,PREFERRED_ADJACENT,VASTU,Puja room overlooking courtyard receives northeast natural light ideal for worship per vastu principles in Tamil Nadu traditional homes.,"3BHK,4BHK",2,0,,0.9,E,1,
132,puja_room,master_bedroom,PREFERRED_ADJACENT,VASTU,Puja room near master bedroom allows convenient early morning worship for elderly household heads in Tamil Nadu residential customs.,"3BHK,4BHK",2,1,0.75,0.9,E,1,
133,puja_room,bedroom_2,MUST_NOT_BE_ADJACENT,VASTU,Secondary bedroom should not adjoin puja room as sleeping over or beside sacred space is vastu non-compliant in homes.,"3BHK,4BHK",2,0,,,ANY,1,
134,puja_room,utility,MUST_NOT_BE_ADJACENT,VASTU,Utility room wet activities must not adjoin puja room per vastu purity requirements for sacred worship space in dwellings.,"3BHK,4BHK",3,0,,,ANY,1,
135,puja_room,store,MUST_NOT_BE_ADJACENT,VASTU,Store room must not adjoin puja room as material storage near sacred space is considered vastu non-compliant in residences.,"3BHK,4BHK",2,0,,,ANY,1,
136,verandah,passage,SHOULD_BE_ADJACENT,CIRCULATION,Verandah connected to internal passage creates secondary circulation route common in Tamil Nadu traditional thinnai house planning.,"2BHK,3BHK,4BHK",2,1,0.9,0.9,ANY,0,
137,verandah,toilet_common,MUST_NOT_BE_ADJACENT,VASTU,Toilet must not open to verandah per vastu as external toilet visibility is inauspicious and unhygienic for semi-public areas.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
138,verandah,toilet_attached,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet must not open from verandah per vastu and privacy standards; toilet access must be from within the bedroom.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
139,bedroom_2,verandah,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom must not open to front verandah to maintain visual privacy from street and visitors per residential planning norms.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
140,bedroom_3,verandah,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom isolation from verandah ensures sleeping zone privacy from semi-public outdoor area in 3BHK and 4BHK homes.,"3BHK,4BHK",3,0,,,ANY,0,
141,bedroom_4,verandah,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom in 4BHK must not open to verandah to preserve premium privacy standards for all bedroom occupants in the home.,4BHK,3,0,,,ANY,0,
142,dining,store,PREFERRED_ADJACENT,FUNCTIONAL,Store room adjacent to dining provides convenient crockery and serving item storage typical in Tamil Nadu household dining customs.,"3BHK,4BHK",1,1,0.75,0.9,ANY,0,
143,kitchen,living,SHOULD_BE_ADJACENT,FUNCTIONAL,Kitchen near living area enables open plan supervision and conversation flow in modern compact Tamil Nadu urban apartment layouts.,1BHK,3,1,0.9,1.5,ANY,0,
144,toilet_common,utility,SHOULD_BE_ADJACENT,PLUMBING,Common toilet and utility wet zone consolidation reduces pipe run length and plumbing cost per NBC 2016 service integration norms.,"2BHK,3BHK,4BHK",3,0,,0.9,ANY,0,"Part 9, Cl 3.1"
145,bedroom_2,bedroom_4,PREFERRED_ADJACENT,FUNCTIONAL,Clustering second and fourth bedrooms in 4BHK creates dedicated children or guest wing with shared amenity corridor access.,4BHK,1,0,,,ANY,0,
146,bedroom_3,master_bedroom,MUST_NOT_BE_ADJACENT,PRIVACY,Master and third bedroom separation ensures acoustic privacy between primary and tertiary sleeping zones in 3BHK layouts.,"3BHK,4BHK",2,0,,,ANY,0,
147,bedroom_4,master_bedroom,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom must be separated from master to ensure premium acoustic privacy in 4BHK luxury Tamil Nadu apartment units.,4BHK,2,0,,,ANY,0,
148,pooja,living,MUST_SHARE_WALL,VASTU,Northeast pooja room sharing wall with living is vastu mandatory for north-facing plots to channel positive deity energy flow.,"2BHK,3BHK,4BHK",5,1,0.75,0.9,N,1,
149,kitchen,dining,MUST_SHARE_WALL,VASTU,South-facing plot requires kitchen-dining wall sharing in southeast corner per vastu agni directional principle for cooking zones.,"1BHK,2BHK,3BHK,4BHK",4,1,0.9,1.8,S,1,
150,master_bedroom,toilet_attached,MUST_SHARE_WALL,VASTU,West-facing plots require master bedroom and attached toilet along southwest wall per vastu directional sleeping zone placement.,"1BHK,2BHK,3BHK,4BHK",5,1,0.75,1.2,W,1,
151,living,verandah,MUST_SHARE_WALL,VASTU,North-facing plots require living-verandah shared wall along north frontage to maximize positive vastu energy reception in home.,"1BHK,2BHK,3BHK,4BHK",5,1,1.2,2.4,N,1,
152,verandah,living,MUST_SHARE_WALL,VASTU,South-facing verandah must share wall with living to create buffer from harsh southern sun per Tamil Nadu climate-responsive design.,"1BHK,2BHK,3BHK,4BHK",4,1,1.2,2.4,S,1,
153,kitchen,utility,MUST_SHARE_WALL,VASTU,East-facing plots place kitchen-utility along southeast wall consolidating wet zone per vastu agni corner placement principle.,"2BHK,3BHK,4BHK",4,1,0.75,1.5,E,1,
154,courtyard,passage,SHOULD_BE_ADJACENT,CIRCULATION,Courtyard connected to main passage enables natural light distribution to circulation spine in Tamil Nadu traditional house layouts.,"3BHK,4BHK",2,0,,1.5,ANY,1,
155,bedroom_3,toilet_attached,MUST_SHARE_WALL,FUNCTIONAL,Third bedroom ensuite in 4BHK provides individual toilet access enhancing premium living standards in luxury Tamil Nadu residences.,4BHK,4,1,0.75,1.2,ANY,0,"Part 4, Cl 4.2"
156,bedroom_4,toilet_common,SHOULD_BE_ADJACENT,FUNCTIONAL,Fourth bedroom in 4BHK should have convenient common toilet access if not provided with individual attached toilet facility.,4BHK,3,0,,,ANY,0,
157,dining,verandah,PREFERRED_ADJACENT,FUNCTIONAL,Dining near verandah enables semi-outdoor eating during pleasant weather typical of Tamil Nadu evening dining cultural traditions.,"2BHK,3BHK,4BHK",1,1,1,1.5,E,1,
158,store,staircase,PREFERRED_ADJACENT,FUNCTIONAL,Under-staircase space utilized as store room maximizes area efficiency in compact Tamil Nadu residential independent house layouts.,"2BHK,3BHK,4BHK",1,1,0.6,,ANY,0,
159,utility,courtyard,SHOULD_BE_ADJACENT,FUNCTIONAL,Utility opening to courtyard provides natural drying space and ventilation for laundry operations in Tamil Nadu independent houses.,"3BHK,4BHK",2,1,0.75,0.9,ANY,0,
160,passage,dining,SHOULD_BE_ADJACENT,CIRCULATION,Passage connecting to dining ensures all private zone residents can access meals without traversing other private rooms in homes.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
161,passage,toilet_common,MUST_SHARE_WALL,CIRCULATION,Common toilet accessed from passage provides shared bathroom without entering bedrooms per standard residential planning circulation norms.,"1BHK,2BHK,3BHK,4BHK",5,1,0.75,0.9,ANY,0,"Part 4, Cl 5.1"
162,master_bedroom,pooja,PREFERRED_ADJACENT,VASTU,Master bedroom near pooja enables private early worship convenient for elderly heads of household in Tamil Nadu residential customs.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,E,1,
163,bedroom_2,kitchen,MUST_NOT_BE_ADJACENT,VASTU,Second bedroom must avoid kitchen adjacency per vastu fire element separation and to prevent cooking odour penetration to sleeping zone.,"2BHK,3BHK,4BHK",3,0,,,ANY,1,
164,courtyard,bedroom_2,PREFERRED_ADJACENT,VASTU,Second bedroom overlooking courtyard benefits from natural ventilation and positive energy flow in Tamil Nadu traditional house designs.,"3BHK,4BHK",1,0,,,ANY,1,
165,courtyard,bedroom_3,PREFERRED_ADJACENT,VASTU,Third bedroom courtyard adjacency provides natural light and ventilation enhancing bedroom comfort in 3BHK traditional Tamil Nadu homes.,"3BHK,4BHK",1,0,,,ANY,1,
166,living,bedroom_2,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom must be separated from living to prevent social zone noise from disturbing sleeping area rest in all homes.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
167,living,bedroom_3,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom should not adjoin living room to maintain acoustic privacy for sleeping zones in 3BHK Tamil Nadu apartments.,"3BHK,4BHK",2,0,,,ANY,0,
168,living,bedroom_4,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom in 4BHK must be isolated from living room to provide premium acoustic privacy for all bedroom occupants.,4BHK,2,0,,,ANY,0,
169,toilet_common,courtyard,MUST_NOT_BE_ADJACENT,VASTU,Common toilet opening to courtyard is vastu forbidden as it channels impure energy into central positive space of the dwelling.,"3BHK,4BHK",4,0,,,ANY,1,
170,toilet_attached,courtyard,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet must not face courtyard per vastu purity principles governing central open space energy in residential buildings.,"3BHK,4BHK",4,0,,,ANY,1,
171,puja_room,bedroom_3,MUST_NOT_BE_ADJACENT,VASTU,Third bedroom should not adjoin puja room as sleeping beside sacred worship space is vastu non-compliant in Tamil Nadu homes.,"3BHK,4BHK",2,0,,,ANY,1,
172,puja_room,bedroom_4,MUST_NOT_BE_ADJACENT,VASTU,Fourth bedroom adjacency to puja room disrupts sacred worship energy per vastu principles in premium 4BHK residential layouts.,4BHK,2,0,,,ANY,1,
173,toilet_common,dining,FORBIDDEN_ADJACENT,VASTU,Common toilet sharing wall with dining is vastu forbidden and unhygienic; minimum one room separation is required in all homes.,"1BHK,2BHK,3BHK,4BHK",5,0,,,ANY,1,
174,toilet_attached,pooja,FORBIDDEN_ADJACENT,VASTU,Attached toilet sharing wall with pooja space is absolutely forbidden per vastu shastra sacred space purity requirements.,"2BHK,3BHK,4BHK",5,0,,,ANY,1,
175,toilet_common,pooja,FORBIDDEN_ADJACENT,VASTU,Common toilet adjacency to pooja room is strictly vastu forbidden to maintain worship zone ritual purity in Tamil Nadu homes.,"2BHK,3BHK,4BHK",5,0,,,ANY,1,
176,kitchen,pooja,PREFERRED_ADJACENT,VASTU,Kitchen adjacent to pooja in northeast allows daily naivedyam food offering rituals per Tamil Nadu brahmin household vastu custom.,"2BHK,3BHK,4BHK",3,1,0.75,0.9,E,1,
177,bedroom_2,bedroom_3,PREFERRED_ADJACENT,FUNCTIONAL,Clustering second and third bedrooms creates dedicated children wing with shared toilet access in 3BHK Tamil Nadu apartments.,"3BHK,4BHK",2,0,,,ANY,0,
178,living,store,MUST_NOT_BE_ADJACENT,FUNCTIONAL,Store room must not be visible from living to maintain formal aesthetics and prevent cluttered service zone exposure to guests.,"2BHK,3BHK,4BHK",1,0,,,ANY,0,
179,living,utility,MUST_NOT_BE_ADJACENT,FUNCTIONAL,Utility room must be hidden from living area to prevent laundry visibility and noise from disturbing formal reception space.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
180,dining,utility,MUST_NOT_BE_ADJACENT,FUNCTIONAL,Dining room should not adjoin utility to prevent detergent odours and machine noise from disturbing mealtime family experience.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
181,verandah,utility,PREFERRED_ADJACENT,FUNCTIONAL,Utility room access from rear verandah enables service entry and clothes drying typical in Tamil Nadu independent house planning.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,W,0,
182,bedroom_3,bedroom_2,PREFERRED_ADJACENT,FUNCTIONAL,Second and third bedrooms adjacency in 3BHK creates children zone enabling shared play area and parental supervision in homes.,"3BHK,4BHK",2,0,,,ANY,0,
183,kitchen,staircase,MUST_NOT_BE_ADJACENT,SAFETY,Kitchen separation from staircase prevents fire hazard and ensures safe evacuation route per NBC 2016 fire safety requirements.,"2BHK,3BHK,4BHK",4,0,,,ANY,0,"Part 4, Cl 6.2"
184,staircase,courtyard,PREFERRED_ADJACENT,CIRCULATION,Staircase adjacent to courtyard receives natural light and ventilation improving user comfort in multi-storey Tamil Nadu houses.,"3BHK,4BHK",2,0,,,ANY,0,
185,passage,store,SHOULD_BE_ADJACENT,CIRCULATION,Store room opening from passage enables household storage access without entering private bedrooms in Tamil Nadu apartment layouts.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,ANY,0,
186,passage,utility,SHOULD_BE_ADJACENT,CIRCULATION,Utility room accessible from passage allows service activities without entering kitchen or living zones in residential unit planning.,"2BHK,3BHK,4BHK",2,1,0.75,0.9,ANY,0,
187,master_bedroom,utility,MUST_NOT_BE_ADJACENT,PRIVACY,Master bedroom must be isolated from utility room washing machine vibration and laundry noise for undisturbed sleeping comfort.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
188,toilet_attached,living,MUST_NOT_BE_ADJACENT,VASTU,Attached toilet must not open into living hall per vastu and to maintain social space dignity in Tamil Nadu residential units.,"1BHK,2BHK,3BHK,4BHK",4,0,,,ANY,1,
189,toilet_attached,dining,FORBIDDEN_ADJACENT,VASTU,Vastu strictly forbids attached toilet wall sharing with dining area to preserve food zone sanctity in Tamil Nadu residences.,"1BHK,2BHK,3BHK,4BHK",5,0,,,ANY,1,
190,toilet_common,master_bedroom,MUST_NOT_BE_ADJACENT,PRIVACY,Common toilet must not adjoin master bedroom to prevent shared facility noise from disturbing primary sleeping zone privacy.,"2BHK,3BHK,4BHK",3,0,,,ANY,0,
191,bedroom_2,utility,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom must be buffered from utility laundry noise and vibration to maintain comfortable sleeping environment in homes.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
192,bedroom_3,utility,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom separation from utility room prevents laundry operation noise from disturbing rest in 3BHK and 4BHK residences.,"3BHK,4BHK",2,0,,,ANY,0,
193,bedroom_4,utility,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom in 4BHK should be isolated from utility room service noise to maintain premium sleeping zone standards.,4BHK,2,0,,,ANY,0,
194,living,puja_room,SHOULD_BE_ADJACENT,VASTU,Living room adjacent to puja room allows family worship visibility and spiritual ambience in main gathering space per vastu norms.,"3BHK,4BHK",3,1,0.75,0.9,E,1,
195,bedroom_3,store,PREFERRED_ADJACENT,FUNCTIONAL,Store near third bedroom provides personal storage for children or guest room supplies in 3BHK and 4BHK unit configurations.,"3BHK,4BHK",1,1,0.75,0.9,ANY,0,
196,staircase,utility,PREFERRED_ADJACENT,FUNCTIONAL,Under-staircase area can serve utility storage reducing dedicated utility space in compact Tamil Nadu multi-storey house layouts.,"2BHK,3BHK,4BHK",1,1,0.6,,ANY,0,
197,verandah,pooja,PREFERRED_ADJACENT,VASTU,Verandah adjacent to pooja room allows morning sunlight into worship space following vastu east-facing deity placement principles.,"2BHK,3BHK,4BHK",2,0,,,E,1,
198,dining,bedroom_2,MUST_NOT_BE_ADJACENT,PRIVACY,Second bedroom should not adjoin dining to prevent meal conversation noise and food odours from disturbing sleeping zone rest.,"2BHK,3BHK,4BHK",2,0,,,ANY,0,
199,dining,bedroom_3,MUST_NOT_BE_ADJACENT,PRIVACY,Third bedroom must be separated from dining for acoustic comfort and privacy in 3BHK Tamil Nadu residential unit layouts.,"3BHK,4BHK",2,0,,,ANY,0,
200,dining,bedroom_4,MUST_NOT_BE_ADJACENT,PRIVACY,Fourth bedroom must not adjoin dining area to preserve premium sleeping quiet in 4BHK luxury Tamil Nadu apartment units.,4BHK,2,0,,,ANY,0,
