seq_id,sequence_step,space_name,space_type,is_mandatory,is_optional,min_depth_m,typical_depth_m,width_relationship,visual_termination,privacy_transition,transition_element,facing_n_description,facing_s_description,facing_e_description,facing_w_description,vastu_significance,traditional_tn_element,modern_adaptation,drawing_annotation,bhk_applicability,plot_area_min_sqm
26,8,Bedroom Entry,TRANSITION,1,0,0,0.3,NARROWER,Single bedroom door visible from living room with minimal transition space typical of compact 1BHK floor plans,SEMI_PRIVATE → PRIVATE,Simple door threshold marking privacy boundary between living area and single bedroom space,North 1BHK bedroom door on south wall of living room with door hinge on east side per vastu door-opening rules,South 1BHK bedroom door on west wall of living with bedroom behind receiving north light for pleasant sleeping,East 1BHK bedroom door on south or west wall with bedroom positioned for quiet sleeping away from east entry zone,West 1BHK bedroom door on south wall with bedroom on south side getting cross-ventilation from two external walls,Bedroom door must open clockwise — anticlockwise opening is considered inauspicious for private room entry per vastu,Simple bedroom door with teak frame brass handle and small deity symbol or om carved on door top panel in TN homes,Modern bedroom door with flush panel finish quality brass or steel handle acoustic seal strip and pivot hinge option,→ BED,1BHK,30
27,1,Main Gate,GATE,1,0,0.4,0.7,SAME_WIDTH,Mid-size gate with approach pathway visible beyond and house partially screened by garden or compound wall return,PUBLIC → PUBLIC,Gate pillar with name plate light fixture and intercom or bell button at visitor-accessible height,North mid-plot gate with garden visible on both sides and house facade partially revealed creating curiosity,South mid-plot gate with overhead canopy and side pillar providing shade while visitor waits for door response,East mid-plot gate receiving morning sun with brass name plate catching light and traditional bell at side pillar,West mid-plot gate with tinted overhead panel and garden buffer reducing glare for both visitor and interior view,Mid-size plots benefit from slightly offset gate — angled approach prevents direct road energy hitting the house per vastu,Mid-size gate with masonry pillars wrought iron leaf design and small overhead traditional tile roof shelter,Modern mid-gate with CNC-cut metal panel design video doorbell call button and accent pillar lighting for evening,═ GATE ═,"2BHK,3BHK",60
28,3,Traditional Verandah,VERANDAH,1,0,1.8,2.4,SAME_WIDTH,Grand thinnai verandah with carved columns visible raised platform for traditional sitting and ornate ceiling work,PUBLIC → SEMI_PUBLIC,Grand 300mm platform rise with carved stone steps and polished granite floor on raised verandah level,Grand north thinnai spanning full width with carved granite columns raised platform and overhead carved wood ceiling,Grand south thinnai with 2.4m depth for sun shield carved stone bench and overhead fan for hot-weather comfort,Grand east thinnai in morning sunlight with brass hanging lamps carved column capitals and traditional tile floor,Grand west thinnai with bamboo roller blinds for afternoon sun and carved stone backrest bench for extended sitting,Grand thinnai is where the household demonstrates status — ornate columns and finish reflect family standing per tradition,Chettinad-style thinnai with carved teak columns Burma teak ceiling hand-laid Athangudi tile and stone platform,Contemporary grand verandah with designer column cladding imported stone floor concealed speakers and smart lighting,▓▓▓▓ GRAND THINNAI ▓▓▓▓,4BHK,150
29,6,Living with Courtyard,LIVING,1,0,3.6,4.2,WIDER,Living room opening onto internal courtyard with natural light flooding from above and sky visible through roof opening,SEMI_PRIVATE → SEMI_PRIVATE,Large archway or fully open wall connecting indoor living to courtyard creating extended social space,North living opening to central courtyard with light well visible creating dramatic interior illumination effect,South living with courtyard on north side bringing indirect north light deep into the living space for comfort,East living with courtyard creating cross-ventilation path from east entry through living into central open space,West living with courtyard buffer reducing west heat while bringing controlled daylight into interior social zone,Courtyard is Brahmasthana center of the house — living adjacent to it receives the most positive energy per vastu,Traditional mutram-connected living with carved archway stone-paved courtyard with tulasi and brass oil lamp stand,Modern courtyard living with retractable glass roof landscaped courtyard planter and seamless indoor-outdoor flooring,╔═══ LIVING ←→ COURTYARD ═══╗,"3BHK,4BHK",100
30,7,Service Entry,TRANSITION,1,0,0.6,0.9,NARROWER,Transition from dining to kitchen with serving counter visible and change from guest-zone to household-zone atmosphere,SERVICE → SERVICE,Counter or half-wall with pass-through serving window marking boundary between dining and kitchen zones,North house service entry with pass-through counter on east wall and kitchen visible beyond for convenient serving,South house service transition with overhead ventilation duct visible and fire safety equipment niche at entry,East house service entry with morning light from kitchen window visible through pass-through creating bright welcome,West house service approach on east wall with kitchen set away from hot west wall for comfortable cooking environment,Kitchen entry transition must be clean and obstacle-free — blocked kitchen entry creates health and safety issues per vastu,Traditional service entry with wooden half-door brass threshold and overhead shelf for daily-use vessels and spices,Modern service transition with quartz counter pass-through overhead cabinet and water-resistant flooring at boundary,──→ SERVICE,"1BHK,2BHK,3BHK,4BHK",30
31,2,Side Pathway,PATHWAY,0,1,0.75,1,NARROWER,Narrow side passage along compound wall leading to service entrance at rear for domestic help and delivery access,PUBLIC → SERVICE,Change from front garden paving to utilitarian concrete pathway marking transition to service approach,North plot side path on east boundary leading to southeast service entrance behind kitchen for maid and delivery,South plot side path on east side connecting to service door avoiding need for service staff to use main gate entry,East plot side path on south boundary leading to utility room service door at rear of house away from entry zone,West plot side path on south side connecting to kitchen service exit for LPG delivery and waste disposal access,Service pathway must not cross main entry axis — domestic help approach should be separate from family arrival path,Narrow concrete side passage with compound wall on one side and house wall on other with overhead drain pipe routing,Modern side path with anti-skid pavers accent lighting sensor gate and separate service entrance intercom system,···→ SERVICE,"2BHK,3BHK,4BHK",50
32,8,Bedroom Zone Entry,TRANSITION,1,0,0.5,0.9,NARROWER,Simple turn or short passage from living leading to two bedroom doors marking clear boundary of private family zone,SEMI_PRIVATE → PRIVATE,L-turn in circulation path preventing direct sightline from living into bedroom when doors open,North 2BHK bedroom zone entry turning south from living with master bedroom door on west and bedroom 2 on south,South 2BHK bedroom entry turning west from living with bedrooms on west side away from south road and sun exposure,East 2BHK bedroom zone turning south from living with bedrooms on south and west walls for quiet sleeping position,West 2BHK bedroom entry turning east from living ensuring bedroom doors face away from hot west afternoon sun,L-turn at bedroom zone entry is architecturally ideal — prevents direct visual axis from public to private per vastu,Simple passage turn with family photo on wall overhead tube light and two bedroom doors visible around the corner,Modern L-turn passage with accent wall recessed lighting and acoustic door transition into quiet bedroom zone,─┐→ BEDS,2BHK,40
33,4,Main Door,MAIN_DOOR,1,0,0.2,0.25,NARROWER,Decorated main door with traditional toran festoon and kolam visible at threshold base marking sacred house entry,SEMI_PUBLIC → SEMI_PRIVATE,Ornamental brass threshold with mango leaf toran above and kolam powder design at base step,North plot decorated door with toran overhead kolam at base and brass door knocker ring at center panel of door,South plot main door with toran and overhead deepam lamp lit during evening creating warm welcoming glow for visitors,East plot main door catching morning sun on toran making mango leaves glow golden creating auspicious entry light,West plot main door with small canopy over toran protecting decoration from afternoon rain and sun damage exposure,Toran and kolam at door are daily renewal rituals — fresh kolam each morning invites Lakshmi into home per tradition,Toran of fresh mango leaves above door handmade kolam at threshold and small brass oil lamp lit daily at door frame,Modern adaptation uses permanent decorative toran in brass or copper with rangoli sticker and electronic diya lamp,╔═ 🚪 ═╗,"2BHK,3BHK,4BHK",40
34,5,Grand Foyer,FOYER,0,1,1.5,2,SAME_WIDTH,Spacious entry hall with double-height ceiling statement lighting and gallery view creating impressive first interior,SEMI_PRIVATE → SEMI_PRIVATE,Grand floor medallion or compass pattern in marble marking center of foyer as architectural feature,Grand north foyer with double-height ceiling large deity niche on south wall and staircase partially visible beyond,Grand south foyer with clerestory north window bringing light into deep interior and accent wall on east side visible,Grand east foyer with morning light flooding through high east window and living room grand archway visible ahead,Grand west foyer with warm accent lighting compensating for western exposure and art display wall greeting visitors,Grand foyer must feel abundant — high ceiling and good lighting create prosperity impression per vastu entrance principles,Grand foyer with marble floor inlay teak staircase visible brass chandelier and large deity or nature painting on wall,Premium foyer with designer marble Italian chandelier accent art display and architectural feature staircase as backdrop,╔═══ GRAND FOYER ═══╗,4BHK,150
35,1,Main Gate,GATE,1,0,0.3,0.6,SAME_WIDTH,East-facing gate with morning sun highlighting house facade and traditional kolam visible at compound threshold,PUBLIC → PUBLIC,Gate pillar with east-facing deity niche receiving morning sun as first auspicious element,North gate alternative position at northeast corner for vastu compliance when road runs along both N and E sides,South gate at southeast corner for corner plots where south road is primary access with east road as secondary,East primary gate position with morning sun blessing entry and brass Ganesha image on right gate pillar face,West gate at northwest corner position when west road is primary with overhead sun shield for afternoon visitors,East-facing gate is most auspicious per vastu — morning sun energy enters home directly through primary opening,East gate with carved stone Ganesha on right pillar brass bell on left pillar and kolam at compound threshold,Modern east gate with backlit house number stainless steel Ganesha motif and automated swing mechanism,☼ GATE ═══,"2BHK,3BHK,4BHK",50
36,2,Garden Pathway,PATHWAY,0,1,2,4,NARROWER,Landscaped garden path with flowering plants on both sides creating fragrant approach to the house verandah,PUBLIC → PUBLIC,Natural stone stepping pathway through green lawn transitioning from paved compound to soft landscape,North garden path with jasmine and crossandra beds on both sides leading visitor through fragrant approach to home,South garden path with shade trees on west side creating cool corridor during afternoon approach to house entry,East garden path with morning-blooming flowers like jasmine and parijata creating aromatic dawn entry experience,West garden path with dense planting on west side creating natural screen against setting sun on the approach,Garden pathway slows the visitor creating mindful transition — rushing from gate to door is energetically harmful per vastu,Traditional garden with tulasi jasmine crossandra and curry leaf plants alongside granite stepping stone pathway,Modern landscaped path with native drought-resistant plants decorative gravel and solar-powered path bollard lights,🌿──→🌿,"3BHK,4BHK",120
37,3,Security Verandah,VERANDAH,1,0,1.5,1.8,SAME_WIDTH,Verandah with grille gate separating semi-public waiting area from private interior entry for security screening,PUBLIC → SEMI_PUBLIC,Grille gate with lock between verandah outer zone and main door inner zone for security layer,North security verandah with outer sitting zone and inner grille gate before main door for visitor screening,South security verandah with deep overhang protecting grille gate area from rain while visitor waits for entry,East security verandah with morning light in outer zone and shaded inner zone behind grille for privacy balance,West security verandah with solid west screen on outer edge and inner grille creating double-layer sun protection,Security grille at verandah creates protective boundary — unwanted energy is filtered before reaching main door per vastu,Wrought iron grille gate at verandah midpoint with lock and small speaking window for visitor identification,Modern security verandah with toughened glass partition video intercom and remote-controlled lock at grille gate,▓|GRILLE|▓,"2BHK,3BHK,4BHK",50
38,4,Side Entrance,MAIN_DOOR,0,1,0.15,0.2,NARROWER,Secondary family entrance from car porch or side pathway allowing private family entry bypassing formal front door,PUBLIC → SEMI_PRIVATE,Simple threshold step with no elaborate decoration marking informal family-only entry point,North house side door on east wall near car porch for quick family entry after parking without walking to front,South house side door on east side connecting car porch area to internal passage for convenient family access,East house side door on south wall allowing family entry from side garden or car porch avoiding formal east entry,West house side door on south side connecting service pathway to internal corridor for family and service dual use,Side entrance should not be larger or more prominent than main door — hierarchy of entries must be maintained per vastu,Simple side door in teak or plywood with basic lock and small overhead shelter for rain protection during entry,Modern side entrance with keypad lock or fingerprint access weather-sealed frame and minimal exterior lighting,╔ SIDE ╗,"3BHK,4BHK",80
39,5,Shoe Removal Area,TRANSITION,1,0,0.3,0.6,SAME_WIDTH,Designated space at entry threshold for removing footwear before entering the clean interior of the Tamil Nadu home,SEMI_PUBLIC → SEMI_PRIVATE,Floor level step of 50mm marking clean interior zone where shoes are not permitted beyond,North entry shoe area on verandah south edge near main door with built-in shoe rack niche in verandah wall,South entry shoe removal at verandah inner edge with overhead shelf and sitting ledge for comfortable removal,East entry shoe zone on verandah west edge bathed in morning light with traditional stone seat for foot washing,West entry shoe area on verandah east side with shade from afternoon sun and ventilated shoe storage cabinet,Shoes carry external impurities — removing them at threshold purifies the person before entering sacred home space per custom,Stone ledge at verandah edge for sitting during shoe removal with small brass water vessel for foot washing ritual,Modern shoe removal zone with sensor-lit shoe cabinet small bench with storage and anti-bacterial mat at threshold,👟 SHOES,"1BHK,2BHK,3BHK,4BHK",30
40,6,Living Prayer Corner,LIVING,1,0,3,3.6,WIDER,Living room with visible pooja alcove in northeast corner creating spiritual anchor within the primary social space,SEMI_PRIVATE → SEMI_PRIVATE,Pooja alcove archway visible from living entrance creating immediate sacred visual connection,North living with pooja in northeast corner receiving north and east light making deity illuminated during day,South living with pooja on northeast wall visible upon entering ensuring first interior view includes sacred space,East living with pooja in northeast naturally lit by morning sun through adjacent window creating golden deity glow,West living with pooja in northeast interior wall with dedicated accent light compensating for limited natural light,First view upon entering living should include sacred element — pooja visible from entry invites divine blessing per vastu,Northeast pooja alcove with carved wooden frame brass bell small brass lamp and fresh flower offering visible daily,Modern living pooja with backlit CNC-cut panel concealed LED deity lighting and minimalist stone shelf for offerings,╔═ LIVING + 🕉 ═╗,"1BHK,2BHK,3BHK,4BHK",30
41,7,Pantry Passage,TRANSITION,0,1,0.9,1.2,NARROWER,Walk-through pantry between dining and kitchen serving as both storage and transition space in premium homes,SERVICE → SERVICE,Shelving units on both sides of passage creating narrow walk-through with provisions visible,North house pantry passage on east side with shelves for vessels and provisions connecting dining to kitchen zone,South house pantry corridor with ventilated shelving for dry goods storage creating organized service transition,East house pantry passage receiving indirect light from kitchen window with systematic storage on both walls,West house pantry on east side of kitchen buffering cooking heat from dining area and providing ample storage,Pantry between dining and kitchen filters service activity from guest view — organized storage reflects household discipline,Traditional pantry with wooden shelving brass vessel storage rice bin niche and overhead spice hanging rack,Modern walk-through pantry with modular steel shelving pull-out baskets and organized container system on both sides,──PANTRY──→,"3BHK,4BHK",100
42,8,Upper Floor Landing,TRANSITION,0,1,1,1.5,SAME_WIDTH,Staircase landing on upper floor distributing access to bedrooms with natural light from stairwell or window,SEMI_PRIVATE → PRIVATE,Floor level change at landing with different flooring material marking upper private zone entry,North upper landing with north-facing stairwell window bringing diffused light and ventilation to circulation core,South upper landing with south window providing daylight with louver control for heat management in upper zone,East upper landing with morning light from east stairwell window creating bright start for upper floor circulation,West upper landing with frosted west window preventing direct sun while allowing diffused afternoon light through,Upper landing is mini-foyer of private floor — must be bright and ventilated connecting to all upper bedrooms per vastu,Upper landing with polished granite floor wooden handrail continuation small deity niche and overhead tube light,Modern landing with glass balustrade skylight or stairwell window accent wall and access to all upper floor rooms,═══ LANDING ═══,"2BHK,3BHK,4BHK",60
43,3,Rain-Protected Verandah,VERANDAH,1,0,1.5,2,SAME_WIDTH,Verandah designed for Tamil Nadu northeast monsoon with drainage channels and rain-resistant sitting arrangement,PUBLIC → SEMI_PUBLIC,Sloped verandah floor with drainage channel at outer edge preventing rainwater ingress to interior,North monsoon verandah with angled roof slope directing northeast monsoon rain away from sitting and entry zone,South monsoon verandah with extended overhang and side wall protecting from wind-driven rain during southwest season,East monsoon verandah most exposed to NE monsoon needs deep overhang and removable rain screen for storm protection,West monsoon verandah with solid parapet on west side blocking wind-driven rain during occasional western disturbances,Verandah must handle monsoon gracefully — water should never pool at threshold as stagnant water brings negative energy,Traditional monsoon verandah with sloped Mangalore tile roof deep overhang stone drip channel and raised plinth,Modern monsoon verandah with sloped composite roof retractable glass panels floor drain channel and raised entry step,▓▓ RAIN VERANDAH ▓▓,"1BHK,2BHK,3BHK,4BHK",30
44,1,Corner Plot Gate,GATE,1,0,0.4,0.7,WIDER,Corner plot with dual road frontage allowing gate position on either or both roads for maximum access flexibility,PUBLIC → PUBLIC,Corner pillar marking plot boundary intersection with gate on primary road per vastu recommendation,NE corner plot gate on north road with east road for service — north entry preferred per vastu for corner plots,SE corner plot gate on east road preferred over south — east entry brings morning energy into home layout approach,NE corner plot gate on east road with north as secondary — flexibility to choose most auspicious per vastu consultation,NW corner plot gate on north road preferred with west for service entrance — avoids west entry as primary approach,Corner plots have gate direction choice — vastu consultant determines primary entry based on owner birth star alignment,Corner plot gate with larger pillar at corner masonry compound wall on both roads and separate service gate on side road,Modern corner gate with architectural corner feature accent lighting on both road facades and automated primary gate,╔═ CORNER GATE ═╗,"2BHK,3BHK,4BHK",80
45,2,Accessible Pathway,PATHWAY,0,1,1.2,1.5,SAME_WIDTH,Ramp-accessible pathway from gate to verandah meeting universal design standards for wheelchair and elderly access,PUBLIC → PUBLIC,Gentle ramp at 1:12 slope replacing steps with anti-skid surface and handrail for assisted movement,North accessible path with gentle ramp slope from gate level to verandah eliminating all step barriers for wheelchairs,South accessible ramp pathway with shade canopy overhead protecting elderly and wheelchair users from sun exposure,East accessible path with non-glare surface preventing morning sun reflection causing visual difficulty for users,West accessible pathway with anti-skid surface and side handrail providing secure movement in shaded west approach,Accessible home welcomes all — removing barriers at entry allows positive energy for every visitor regardless of ability,Ramp pathway with stone handrail gentle slope and wide turning space at verandah level for traditional TN accessibility,Modern accessible path with anti-skid porcelain ramp stainless steel handrail tactile paving and automatic door option,♿ ──→ RAMP,"2BHK,3BHK,4BHK",60
46,6,Double-Height Living,LIVING,0,1,4,4.8,WIDER,Dramatic double-height living room with mezzanine or gallery above creating grand spatial volume and light cathedral,SEMI_PRIVATE → SEMI_PRIVATE,Full double-height wall with clerestory windows and gallery railing visible above as spatial drama,North double-height living with full north wall clerestory flooding space with even diffused daylight all day long,South double-height living with north-facing clerestory above and south wall kept solid for thermal mass in TN heat,East double-height living with east clerestory receiving dramatic morning light beam tracking across floor through day,West double-height living with east-facing clerestory only and west wall solid to prevent afternoon heat gain above,Double-height space amplifies positive energy — vastly increases brahmasthan influence making living a spiritual center,Double-height with carved teak gallery railing brass chandelier on chain and large deity painting on feature wall,Contemporary double-height with glass gallery railing designer pendant cluster feature stone wall and skylight accent,╔═══ LIVING ═══╗ (2H),4BHK,150
47,7,Formal Dining Room,TRANSITION,0,1,3,3.6,SAME_WIDTH,Separate formal dining room with table for eight or more used for family occasions and guest entertainment meals,SEMI_PRIVATE → SERVICE,Formal archway with pillar detail separating grand dining from living creating distinct meal space,North formal dining on south side of living with kitchen serving door on east wall and display unit on north wall,South formal dining on west side with controlled light through high windows and kitchen access on south wall near SE,East formal dining with morning light through east window making breakfast and lunch visually bright and appetizing,West formal dining on east side of house away from west heat with kitchen access through east or south side passage,Separate dining room for guests shows prosperity — family that feeds guests abundantly receives blessings per tradition,Formal dining with large teak table carved wooden chairs brass plate display shelf and overhead traditional chandelier,Premium dining room with designer table Italian marble server cabinet wine cooler unit and pendant lighting cluster,╔═══ FORMAL DINING ═══╗,4BHK,120
48,8,Wing Distributor,TRANSITION,0,1,1.2,1.5,WIDER,Junction point where corridor splits into two bedroom wings distributing private zone into separate quiet clusters,SEMI_PRIVATE → PRIVATE,T-junction or Y-junction in corridor with different wing indicators and subtle directional lighting,North 4BHK wing split with master suite wing toward southwest and children bedroom wing toward southeast for separation,South 4BHK distributor sending master wing to west side and guest or children wing to north side of private zone,East 4BHK wing junction with master suite heading southwest and secondary bedrooms heading south away from entry,West 4BHK distributor at corridor center splitting master wing southwest and children wing southeast for quiet zoning,Wing separation ensures acoustic privacy between generations — parents and children bedrooms should not share walls per vastu,Junction point with small deity niche accent wall family photo display and two corridor branches with different lighting,Modern wing distributor with accent lighting different wall colors per wing smart panels and acoustic-rated partition walls,═╤═ WING SPLIT,4BHK,150
49,5,Pooja Threshold,TRANSITION,0,1,0.3,0.5,NARROWER,Sacred pause point where entry axis passes pooja room creating spiritual moment before entering main living space,SEMI_PRIVATE → SEMI_PRIVATE,Pooja room door or niche visible at transition point creating sacred visual at interior threshold,North house pooja threshold at northeast with deity visible as one enters creating auspicious first interior connection,South house pooja visible on northeast wall at transition point from entry to living marking spiritual boundary,East house pooja in direct line with morning entry light — deity illuminated naturally as person crosses threshold,West house pooja at transition with dedicated lamp ensuring sacred visual even in limited western natural light,Seeing deity at entry transition purifies the mind — spiritual first-view sets positive tone for entire home experience,Small pooja niche at entry transition with brass frame oil lamp incense holder and fresh flower garland daily renewed,Modern pooja display at transition with backlit deity panel aromatic diffuser and minimalist offering shelf design,🕉 SACRED PAUSE,"2BHK,3BHK,4BHK",40
50,3,Apartment Balcony Entry,VERANDAH,1,0,0.9,1.2,NARROWER,Apartment front balcony serving as verandah equivalent in multi-story buildings providing transitional outdoor space,PUBLIC → SEMI_PUBLIC,Balcony threshold with sliding door and floor level change marking apartment entry outdoor zone,North apartment balcony facing north road with railing seating and main door adjacent for compact entry sequence,South apartment balcony with overhead floor above providing shade and main door recessed for rain protection,East apartment balcony receiving morning sun providing bright welcoming entry space for flat residents and visitors,West apartment balcony with sun-control film on glass and potted plants creating natural shade screen at entry,Apartment balcony at entry serves same vastu purpose as traditional verandah — provides buffer between outside and home,Small balcony with kolam space potted tulasi plant shoe rack and overhead clothesline in traditional TN apartment,Modern apartment balcony with composite deck glass railing designer planter and concealed shoe storage unit at entry,▓ BALCONY ▓,"1BHK,2BHK",
