path_id,from_space,to_space,path_type,movement_direction,min_passage_width_m,max_hops_from_entrance,privacy_level,bhk_applicability,facing_dependency,reason,nbc_reference,vastu_basis,violation_consequence,graph_edge_weight,is_critical_path
60,courtyard,kitchen,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,3,SERVICE,"3BHK,4BHK",ANY,Courtyard-kitchen connection provides ventilation but must route through service passage for zone separation,,1,Kitchen directly on courtyard makes cooking odors fill central ventilation shaft — pollutes air for all rooms,0.5,0
61,master_bedroom,toilet_attached,PRIVATE_ONLY,BIDIRECTIONAL,0.75,3,PRIVATE,"2BHK,3BHK,4BHK",ANY,Attached toilet exclusively serves master bedroom with no other access point maintaining private zone integrity,,0,Attached toilet accessible from corridor — loses exclusivity and becomes de facto second common toilet,0.85,0
62,bedroom_2,toilet_attached,PRIVATE_ONLY,BIDIRECTIONAL,0.75,3,PRIVATE,"3BHK,4BHK",ANY,Second attached toilet in premium layouts serves bedroom 2 exclusively as per modern Tamil Nadu apartment standards,,0,Bedroom 2 attached toilet accessible from passage — privacy of bedroom occupant compromised by shared access,0.6,0
63,passage,master_bedroom,PRIVATE_ONLY,BIDIRECTIONAL,0.9,2,PRIVATE,"3BHK,4BHK",ANY,Master bedroom door on passage is private-only — passage serves only bedroom zone not connected to service,,0,Master bedroom on shared service passage where kitchen staff walks — noise and privacy intrusion for occupants,0.7,0
64,bedroom_3,courtyard,PRIVATE_ONLY,ONE_WAY,0.9,3,PRIVATE,"3BHK,4BHK",ANY,Bedroom 3 may have window or restricted door to courtyard but circulation is private-direction only inward,,1,Open bidirectional courtyard-bedroom access lets household visitors see into private bedroom from common area,0.4,0
65,bedroom_4,toilet_attached,PRIVATE_ONLY,BIDIRECTIONAL,0.75,3,PRIVATE,4BHK,ANY,Premium 4BHK layouts provide attached toilet for bedroom 4 maintaining per-room private sanitation facilities,,0,Bedroom 4 without attached bath in luxury segment reduces marketability and per-room privacy significantly,0.55,0
66,kitchen,utility,SERVICE_ONLY,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Utility room exclusively accessed from kitchen forming a contained service pod for wet work and storage,,0,Utility accessible from bedroom or living — washing machine noise and wet activities disrupt non-service zones,0.75,0
67,kitchen,store,SERVICE_ONLY,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Kitchen store for provisions and vessels accessed only from within kitchen service zone in Tamil Nadu homes,,0,Store room opening into living room — dry goods and kitchen supplies visible to guests creates untidy impression,0.4,0
68,utility,outside,SERVICE_ONLY,BIDIRECTIONAL,0.9,4,SERVICE,"3BHK,4BHK",ANY,Dedicated service exit from utility to outside allows maid and delivery entry without crossing living areas,,0,Service personnel must enter through main door traversing living room — disrupts family privacy and guest reception,0.65,0
69,kitchen,outside,SERVICE_ONLY,ONE_WAY,0.9,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Kitchen service door to side passage allows gas cylinder delivery and waste disposal without main entrance use,,0,Heavy gas cylinders carried through living room and verandah — safety hazard and damages floor finishes,0.6,0
70,bedroom_2,outside,EMERGENCY_EXIT,ONE_WAY,0.75,,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Emergency egress window or door from bedrooms to outside required by NBC fire safety for residential buildings,NBC 2016 Part 4 Sec 7,0,No emergency exit from bedroom 2 — occupants trapped if fire blocks living room which is the only normal exit,0.3,0
71,master_bedroom,outside,EMERGENCY_EXIT,ONE_WAY,0.75,,PRIVATE,"1BHK,2BHK,3BHK,4BHK",ANY,Master bedroom must have emergency egress via window with minimum clear opening per NBC fire safety requirements,NBC 2016 Part 4 Sec 7,0,Master bedroom has no external wall window — occupants cannot escape or be rescued during fire emergency,0.3,0
72,kitchen,outside,EMERGENCY_EXIT,ONE_WAY,0.75,,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen fire is most common residential fire — emergency exit via service door or window is NBC requirement,NBC 2016 Part 4 Sec 7,0,Kitchen fire blocks only exit — LPG cylinder fires are leading cause of residential fire deaths in Tamil Nadu,0.4,0
73,staircase,outside,EMERGENCY_EXIT,ONE_WAY,0.9,,PUBLIC,"2BHK,3BHK,4BHK",ANY,Staircase must terminate at ground floor with direct external exit for emergency evacuation per NBC fire norms,NBC 2016 Part 4 Sec 6.7,0,Staircase terminates inside living room not at external door — evacuation bottleneck during multi-floor fire,0.5,0
74,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",N,North-facing plots place verandah along north boundary receiving favorable daylight without harsh afternoon sun,NBC 2016 Part 8 Sec 2,1,Verandah on south side of north-facing plot — entry is at rear of plot contradicting street-facing convention,0.95,1
75,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",S,South-facing plots need deeper verandah with overhang to shield harsh afternoon sun from entering living zone,,1,Shallow verandah on south side — direct sun penetration into living room causes heat gain and glare discomfort,0.95,1
76,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",E,East-facing plots have verandah receiving pleasant morning sun considered auspicious in Tamil vastu tradition,,1,Verandah on west side of east-facing plot — loses morning light benefit and faces harsh western afternoon sun,0.95,1
77,outside,verandah,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",W,West-facing plots need verandah with heavy overhang or screen to block hot western sun typical of Tamil Nadu summers,,1,Unprotected west-facing verandah makes entry zone unbearably hot from April to July — heat gain into living room,0.9,1
78,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",N,North-facing plot kitchen ideally in southeast corner per vastu with access from living on north-south axis,,1,Kitchen in northwest on north-facing plot contradicts vastu agni placement affecting family harmony belief,0.8,0
79,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",S,South-facing plot kitchen in southeast with cooking platform facing east as per Tamil Nadu vastu practitioners,,1,Kitchen placed in northeast on south plot — vastu conflict with water element zone disturbing fire element logic,0.8,0
80,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",E,East-facing plot kitchen in southeast maintaining agni corner placement with good morning light for cooking area,,1,Kitchen in west zone receives harsh afternoon light generating excess heat in already hot cooking environment,0.8,0
81,living,kitchen,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SERVICE,"1BHK,2BHK,3BHK,4BHK",W,West-facing plot kitchen best in southeast but may adjust to northwest with proper ventilation and sun screening,,1,West-facing kitchen without sun protection creates oven-like conditions during Tamil Nadu summer afternoons,0.8,0
82,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",N,North-facing home pooja room in northeast corner of living accessible while facing east during prayer per vastu,,1,Pooja in south or west zone — devotee faces wrong direction during prayer contradicting vastu shastra principles,0.65,0
83,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",S,South-facing home pooja room placed in northeast accessible from living with devotee facing east or north,,1,Pooja room in southwest on south plot — wrong vastu quadrant for sacred space creates spiritual unease for family,0.65,0
84,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",E,East-facing home pooja naturally in northeast near entry receiving first morning sunlight ideal for morning prayers,,1,Pooja room blocked from morning light on east plot — loses the sacred illumination that defines ishan corner worship,0.65,0
85,living,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"1BHK,2BHK,3BHK,4BHK",W,West-facing home pooja in northeast may require passage connection to living for proper directional prayer alignment,,1,Pooja room near west wall receives setting sun energy — considered inauspicious for prayer space in vastu tradition,0.65,0
86,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",N,North-facing plot master bedroom ideally in southwest corner for stability per vastu with window on south or west,,1,Master bedroom in northeast on north plot — vastu says owner stability is in southwest creating restlessness,0.8,0
87,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",S,South-facing plot master bedroom in southwest maintaining vastu nairuthya zone for household head stability,,1,Master bedroom in northeast on south plot conflicts with water-element zone creating instability per vastu belief,0.8,0
88,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",E,East-facing plot master bedroom in southwest or south side ensuring quiet zone away from morning-active east entry,,1,Master bedroom on east side near entry — morning visitor noise disturbs sleeping occupants of primary bedroom,0.8,0
89,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"2BHK,3BHK,4BHK",W,West-facing plot master bedroom in southwest with west wall shielded or thickened to manage afternoon heat gain,,1,Master bedroom with large west-facing window without shading — overheating makes room unusable in TN summers,0.8,0
90,living,master_bedroom,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,1BHK,ANY,In 1BHK the single bedroom opens directly from living room with no passage as space is too compact for corridors,,0,Only bedroom in 1BHK has no direct living access — requires walking through kitchen to reach bed area,0.95,1
91,kitchen,living,DIRECT_ENTRY,BIDIRECTIONAL,0.9,1,SERVICE,1BHK,ANY,1BHK often has open kitchen or kitchen directly opening to living dining combined space for efficient area usage,,0,Kitchen completely walled off in 1BHK makes tiny home feel cramped and blocks natural ventilation pathways,0.8,0
92,living,toilet_common,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,1BHK,ANY,Single common toilet in 1BHK must be accessible from living area serving both bedroom occupants and any guests,,0,Toilet accessible only through bedroom in 1BHK — guest must enter private bedroom to use toilet,0.85,1
93,courtyard,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"3BHK,4BHK",ANY,Traditional Tamil Nadu homes place pooja adjacent to courtyard for natural light and sacred open-sky connection,,1,Pooja room without courtyard connection loses natural light and traditional spatial relationship to open sky,0.4,0
94,verandah,car_porch,DIRECT_ENTRY,BIDIRECTIONAL,1.2,1,PUBLIC,"2BHK,3BHK,4BHK",ANY,Connected verandah and car porch allows sheltered movement from vehicle to home entry without rain exposure,,0,Verandah and car porch disconnected — residents get wet during monsoon walking between car and house entry,0.5,0
95,passage,staircase,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,SEMI_PRIVATE,"3BHK,4BHK",ANY,Staircase opening off passage reduces its visual impact on living room and allows discrete upper floor access,,0,Staircase only accessible through living room in large home — constant foot traffic disrupts living zone activities,0.6,0
96,passage,pooja,DIRECT_ENTRY,BIDIRECTIONAL,0.75,2,SEMI_PRIVATE,"3BHK,4BHK",ANY,Pooja room on passage between living and bedrooms acts as transitional sacred space in larger Tamil Nadu layouts,,1,Pooja room only accessible from kitchen — cooking activities conflict with quiet prayer requirements,0.45,0
97,courtyard,dining,DIRECT_ENTRY,BIDIRECTIONAL,1.2,2,PUBLIC,"3BHK,4BHK",ANY,Courtyard adjacent to dining provides natural ventilation during meals recalling traditional TN thinnai-mutram dining,,1,Dining room fully enclosed without courtyard access in large home — loses potential for pleasant cross-ventilation,0.4,0
98,staircase,passage,DIRECT_ENTRY,BIDIRECTIONAL,0.9,1,SEMI_PRIVATE,"3BHK,4BHK",ANY,Upper floor landing distributes to bedrooms via passage mirroring ground floor circulation in two-story TN homes,,0,Staircase opens directly into upper bedroom with no landing passage — privacy violation for sleeping occupants,0.65,0
99,store,master_bedroom,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"2BHK,3BHK,4BHK",ANY,Store room which may contain pesticides and chemicals must not open directly into sleeping areas for health safety,,0,Chemical fumes from stored household products enter bedroom — respiratory health risk for sleeping occupants,0.6,0
100,utility,master_bedroom,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"2BHK,3BHK,4BHK",ANY,Wet utility room with washing and drying must not connect to bedroom to prevent moisture and mold migration,,0,Moisture from washing enters bedroom through direct opening — wall dampness and mold growth in sleeping area,0.7,0
101,utility,bedroom_2,FORBIDDEN,BIDIRECTIONAL,,,PRIVATE,"2BHK,3BHK,4BHK",ANY,No utility-bedroom direct path in any configuration as wet service zone must be isolated from all sleeping spaces,,0,Utility washing noise at early morning disturbs bedroom 2 occupants through direct opening — acoustic failure,0.65,0
102,utility,pooja,FORBIDDEN,BIDIRECTIONAL,,,SEMI_PRIVATE,"2BHK,3BHK,4BHK",ANY,Utility room with soiled laundry and cleaning chemicals must not adjoin sacred pooja room per vastu and hygiene,,1,Impure utility activities adjacent to prayer space — vastu dosham and unpleasant odors during worship sessions,0.7,0
103,bedroom_3,living,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,3,PRIVATE,"3BHK,4BHK",ANY,Bedroom 3 connects to living only through passage in 3BHK and above maintaining bedroom zone cohesion via corridor,,0,Bedroom 3 opens directly into living in large home — too many doors on living room wall creates visual clutter,0.55,0
104,bedroom_4,living,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,3,PRIVATE,4BHK,ANY,Bedroom 4 always reaches living through passage in 4BHK layouts ensuring bedroom wing is self-contained private zone,,0,Four bedroom doors opening into living room — living becomes a corridor surrounded by bedroom doors losing its character,0.5,0
105,kitchen,courtyard,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,3,SERVICE,"3BHK,4BHK",ANY,Kitchen to courtyard via service passage allows ventilation without making kitchen a pass-through room between zones,,1,Kitchen becomes corridor between courtyard and dining — traffic through cooking area creates safety hazard,0.45,0
106,store,living,PASSAGE_REQUIRED,BIDIRECTIONAL,0.75,3,SEMI_PRIVATE,"3BHK,4BHK",ANY,Store room connects to living via passage or small corridor keeping storage clutter away from main social space,,0,Store room opens directly into living — stored items visible when door opens creates untidy visual in public zone,0.3,0
107,utility,dining,PASSAGE_REQUIRED,BIDIRECTIONAL,0.75,3,SERVICE,"2BHK,3BHK,4BHK",ANY,Utility to dining requires passage through kitchen — direct utility-dining path would mix wet service with food zone,,0,Wet laundry visible from dining table through direct opening — unpleasant visual during meals and hygiene concern,0.4,0
108,courtyard,master_bedroom,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,3,PRIVATE,"3BHK,4BHK",ANY,Master bedroom light from courtyard via window but circulation access requires passage for privacy zone enforcement,,1,Master bedroom door on courtyard — anyone in courtyard can see bedroom interior violating private zone privacy rules,0.5,0
109,dining,living,DIRECT_ENTRY,OPTIONAL,1.8,1,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Living-dining open connection is most common in Tamil Nadu homes but some prefer partial wall with wide archway,,0,Living and dining fully walled off — unusual in TN practice and makes small homes feel cramped and disconnected,0.85,0
110,verandah,living,DIRECT_ENTRY,OPTIONAL,1.5,1,PUBLIC,"2BHK,3BHK,4BHK",ANY,Some TN homes use wide double doors or folding partition between verandah and living for flexible open-closed operation,,0,Verandah permanently open to living — no way to close off from dust wind or security when needed,0.7,0
111,living,courtyard,DIRECT_ENTRY,OPTIONAL,1.5,2,PUBLIC,"3BHK,4BHK",ANY,Courtyard connection optional for modern compact layouts but highly recommended for traditional spatial experience,,1,Modern layout without courtyard loses natural ventilation and light well — compensate with larger windows mandatory,0.5,0
112,passage,store,DIRECT_ENTRY,OPTIONAL,0.75,3,SEMI_PRIVATE,"3BHK,4BHK",ANY,Store room may open off passage as alternative to living-zone access for discrete storage access in larger homes,,0,Store accessible only from living zone in large home — passage access would be more convenient for bedroom wing residents,0.3,0
113,staircase,living,DIRECT_ENTRY,OPTIONAL,0.9,2,PUBLIC,"2BHK,3BHK,4BHK",ANY,Some Tamil Nadu layouts position staircase off living room for visual prominence as architectural feature element,,0,Staircase hidden behind passages — loses architectural character but gains living room wall space for furniture,0.5,0
114,courtyard,staircase,DIRECT_ENTRY,OPTIONAL,0.9,2,SEMI_PRIVATE,"3BHK,4BHK",ANY,Courtyard-staircase connection creates dramatic vertical spatial experience in two-story traditional TN houses,,1,Staircase disconnected from courtyard — loses potential for light well extending vertically through both floors,0.35,0
115,main_gate,car_porch,DIRECT_ENTRY,BIDIRECTIONAL,3,0,PUBLIC,"2BHK,3BHK,4BHK",ANY,Car porch directly behind main gate allows vehicle entry without complex maneuvering on narrow Tamil Nadu streets,,0,Car porch set back from gate with turns — difficult entry on typical 30-foot-wide Tamil Nadu residential plots,0.75,1
116,main_gate,outside,DIRECT_ENTRY,BIDIRECTIONAL,1.2,0,PUBLIC,"1BHK,2BHK,3BHK,4BHK",ANY,Main gate connects plot to public road or lane forming the primary interface with neighborhood in TN residential areas,,0,Plot has no defined gate — boundary ambiguous creating security and address identification issues,0.9,1
117,living,bedroom_3,DIRECT_ENTRY,BIDIRECTIONAL,0.9,2,PRIVATE,"3BHK,4BHK",ANY,In some 3BHK layouts bedroom 3 opens from living when passage is not provided due to compact plot constraints,,0,Bedroom 3 accessible only through other bedrooms — privacy violation and fire egress code non-compliance,0.7,0
118,living,bedroom_4,PASSAGE_REQUIRED,BIDIRECTIONAL,0.9,3,PRIVATE,4BHK,ANY,Bedroom 4 always via passage in 4BHK maintaining disciplined bedroom-wing separation from public living zone,,0,All four bedroom doors opening on living room — living becomes surrounded by bedroom entries losing its character,0.6,0
119,dining,courtyard,DIRECT_ENTRY,BIDIRECTIONAL,1.2,2,PUBLIC,"3BHK,4BHK",ANY,Dining-courtyard connection recreates traditional Tamil Nadu open-air dining experience in modern independent homes,,1,Dining fully enclosed without courtyard — loses cross-ventilation and connection to traditional TN dining culture,0.5,0
120,kitchen,toilet_common,FORBIDDEN,BIDIRECTIONAL,,,SERVICE,"1BHK,2BHK,3BHK,4BHK",ANY,Kitchen must never have direct door to any toilet per NBC and Tamil Nadu CMDA building rules for food safety,NBC 2016 Part 9 Sec 4.2,0,Toilet door opens into kitchen — building inspector will reject plan and municipal approval will be denied,1,0
