code_id,nbc_section,code_category,room_type,parameter_name,min_value,max_value,unit,occupancy_type,bhk_applicability,condition,enforcement_level,penalty_for_violation,drawing_requirement,compliance_check,common_violation,waiver_possible,tn_local_amendment
1,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Minimum floor area,9.5,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Dimension line must show minimum 9.5 sqm for master bedroom with area calculation annotation,room.area >= 9.5,Master bedroom area reduced to 8.5-9.0 sqm to accommodate larger living room,0,DTCP TN mandates 10.0 sqm for plots above 150 sqm
2,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Minimum width,2.4,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Width dimension line must annotate minimum 2.4m clear internal width for master bedroom,room.min_width >= 2.4,Narrow master bedroom with width 2.2m due to wall thickness miscalculation,0,
3,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Minimum ceiling height,2.75,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Occupancy certificate withheld,Section drawing must show 2.75m clear floor-to-ceiling height for master bedroom,room.ceiling_height >= 2.75,False ceiling reducing effective height below 2.75m not shown in plan,0,
4,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Maximum floor area,,25,sqm,RESIDENTIAL_GROUP_A1,"1BHK,2BHK",Applicable for EWS/LIG housing schemes,RECOMMENDED,Warning notice from TNHB,Area annotation must not exceed 25.0 sqm in EWS/LIG category plans,room.area <= 25.0,Oversized master bedroom in EWS housing exceeding carpet area norms,1,TNHB scheme-specific area cap
5,"Part 3, Cl 3.4.1",ROOM_DIMENSIONS,MASTER_BEDROOM,Minimum diagonal dimension,3.3,,m,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Diagonal measurement annotation required on floor plan for master bedroom,room.diagonal >= 3.3,L-shaped master bedroom with effective diagonal below 3.3m,1,
6,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum floor area,7.5,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Dimension line must show minimum 7.5 sqm for secondary bedroom with area tag,room.area >= 7.5,Second bedroom reduced to 6.8 sqm by encroaching corridor space,0,CMDA requires 8.0 sqm for multi-storey apartments
7,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum width,2.1,,m,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Width annotation must show 2.1m clear internal width for secondary bedrooms,room.min_width >= 2.1,Narrow bedroom width of 1.9m caused by oversized adjacent bathroom,0,
8,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum ceiling height,2.75,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Occupancy certificate withheld,Section must annotate 2.75m clear height in all bedrooms,room.ceiling_height >= 2.75,Loft construction reducing bedroom ceiling height below minimum,0,
9,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum door opening width,0.8,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Door schedule must show 0.8m x 2.0m minimum for bedroom doors,room.door_width >= 0.8,Bedroom door width reduced to 0.75m for space saving,0,
10,"Part 3, Cl 3.4.2",ROOM_DIMENSIONS,BEDROOM,Minimum door height,2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Door schedule must annotate minimum 2.0m height for bedroom doors,room.door_height >= 2.0,Non-standard door height of 1.95m used,0,
11,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,KITCHEN,Minimum floor area,4.5,,sqm,RESIDENTIAL_GROUP_A1,"1BHK,2BHK",,MANDATORY,Plan rejected by sanctioning authority,Kitchen area must be annotated with minimum 4.5 sqm dimension block,room.area >= 4.5,Kitchen area reduced to 3.8 sqm in 1BHK units to maximize bedroom,0,DTCP TN requires 5.0 sqm for 2BHK and above
12,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,KITCHEN,Minimum floor area for 3BHK+,5.5,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Kitchen must show minimum 5.5 sqm with platform and movement space annotated,room.area >= 5.5,3BHK kitchen squeezed to 4.8 sqm due to dining area expansion,0,CMDA mandates 6.0 sqm for 3BHK in high-rise
13,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,KITCHEN,Minimum width,1.8,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Width dimension line must show minimum 1.8m clear width in kitchen,room.min_width >= 1.8,Galley kitchen with 1.5m width violating minimum requirement,0,
14,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,KITCHEN,Minimum ceiling height,2.75,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Occupancy certificate withheld,Section drawing must show 2.75m clear height in kitchen area,room.ceiling_height >= 2.75,Exhaust duct lowering effective kitchen ceiling to 2.5m,0,
15,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,KITCHEN,Minimum door opening width,0.8,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Kitchen door must be annotated as minimum 0.8m x 2.0m in door schedule,room.door_width >= 0.8,Kitchen door reduced to 0.6m sliding door,0,
16,"Part 3, Cl 3.4.3",ROOM_DIMENSIONS,KITCHEN,Minimum platform height,0.85,0.9,m,RESIDENTIAL_GROUP_A1,ALL,Kitchen platform/countertop from finished floor level,RECOMMENDED,Advisory notice issued,Kitchen section must annotate platform height between 0.85m and 0.9m from FFL,platform.height >= 0.85 and platform.height <= 0.9,Platform height at 0.75m causing ergonomic issues,1,
17,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,LIVING_ROOM,Minimum floor area,9.5,,sqm,RESIDENTIAL_GROUP_A1,1BHK,,MANDATORY,Plan rejected by sanctioning authority,Living room area annotation must show minimum 9.5 sqm for 1BHK units,room.area >= 9.5,Living room reduced to 8.5 sqm by moving partition towards living area,0,
18,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,LIVING_ROOM,Minimum floor area for 2BHK,12,,sqm,RESIDENTIAL_GROUP_A1,2BHK,,MANDATORY,Plan rejected by sanctioning authority,Living room must annotate minimum 12.0 sqm area for 2BHK configuration,room.area >= 12.0,2BHK living room at 10.5 sqm due to oversized bedrooms,0,CMDA recommends 13.0 sqm for 2BHK in group housing
19,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,LIVING_ROOM,Minimum floor area for 3BHK+,15,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Living room area must show minimum 15.0 sqm with furniture layout zone indicated,room.area >= 15.0,3BHK living room at 13.0 sqm with awkward L-shape,0,
20,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,LIVING_ROOM,Minimum width,2.4,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Width annotation must show minimum 2.4m clear width in living room,room.min_width >= 2.4,Living room narrowed to 2.2m by column projection,0,
21,"Part 3, Cl 3.4.4",ROOM_DIMENSIONS,LIVING_ROOM,Minimum ceiling height,2.75,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Occupancy certificate withheld,Section drawing must show 2.75m clear ceiling height for living room,room.ceiling_height >= 2.75,Beam soffit reducing living room height to 2.6m at edges,0,
22,"Part 3, Cl 3.4.5",ROOM_DIMENSIONS,DINING_ROOM,Minimum floor area,7.5,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",When provided as separate room,RECOMMENDED,Advisory notice issued,Dining area annotation must show 7.5 sqm minimum when separate from living,room.area >= 7.5,Separate dining room at 5.5 sqm inadequate for 6-seater table,1,
23,"Part 3, Cl 3.4.5",ROOM_DIMENSIONS,DINING_ROOM,Minimum width,2.1,,m,RESIDENTIAL_GROUP_A1,ALL,When provided as separate room,RECOMMENDED,Advisory notice issued,Width must be annotated at minimum 2.1m for separate dining room,room.min_width >= 2.1,Narrow dining passage of 1.8m between living and kitchen,1,
24,"Part 3, Cl 3.5.1",ROOM_DIMENSIONS,BATHROOM_ATTACHED,Minimum floor area,1.8,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Attached bathroom area must annotate minimum 1.8 sqm with fixture layout,room.area >= 1.8,Attached bathroom at 1.5 sqm with shower and WC cramped together,0,
25,"Part 3, Cl 3.5.1",ROOM_DIMENSIONS,BATHROOM_ATTACHED,Minimum width,1.2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Bathroom width annotation must show minimum 1.2m clear internal width,room.min_width >= 1.2,Bathroom width at 1.0m preventing door swing clearance,0,
26,"Part 3, Cl 3.5.1",ROOM_DIMENSIONS,BATHROOM_ATTACHED,Minimum ceiling height,2.2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Occupancy certificate withheld,Section must show minimum 2.2m clear height in attached bathroom,room.ceiling_height >= 2.2,False ceiling for concealed plumbing reducing height to 2.0m,0,
27,"Part 3, Cl 3.5.1",ROOM_DIMENSIONS,BATHROOM_ATTACHED,Minimum door width,0.7,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Bathroom door must be annotated as 0.7m x 1.9m minimum in door schedule,room.door_width >= 0.7,Bathroom door at 0.6m too narrow for wheelchair access consideration,0,
28,"Part 3, Cl 3.5.1",ROOM_DIMENSIONS,BATHROOM_ATTACHED,Minimum door height,1.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Door schedule must annotate 1.9m minimum height for bathroom doors,room.door_height >= 1.9,Non-standard bathroom door at 1.8m height,0,
29,"Part 3, Cl 3.5.2",ROOM_DIMENSIONS,BATHROOM_COMMON,Minimum floor area,2.5,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,MANDATORY,Plan rejected by sanctioning authority,Common bathroom must annotate minimum 2.5 sqm with WC and shower zones marked,room.area >= 2.5,Common bathroom at 2.0 sqm without adequate shower partition space,0,
30,"Part 3, Cl 3.5.2",ROOM_DIMENSIONS,BATHROOM_COMMON,Minimum width,1.2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Common bathroom width annotation must show minimum 1.2m clear width,room.min_width >= 1.2,Common bathroom at 1.05m width with fixtures impeding movement,0,
31,"Part 3, Cl 3.5.3",ROOM_DIMENSIONS,WC,Minimum floor area,1.1,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,WC area must annotate minimum 1.1 sqm with WC fixture placement shown,room.area >= 1.1,WC at 0.9 sqm too small for Indian-style WC pan and door clearance,0,
32,"Part 3, Cl 3.5.3",ROOM_DIMENSIONS,WC,Minimum width,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,WC width must be annotated at minimum 0.9m internal clear dimension,room.min_width >= 0.9,WC width at 0.75m preventing comfortable use,0,
33,"Part 3, Cl 3.5.3",ROOM_DIMENSIONS,WC,Minimum ceiling height,2.2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,WC section must show 2.2m minimum clear height,room.ceiling_height >= 2.2,WC under staircase with height below 2.2m at entry,0,
34,"Part 3, Cl 3.4.6",ROOM_DIMENSIONS,VERANDAH,Minimum width,1.2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Verandah width must be annotated at minimum 1.2m clear internal width,room.min_width >= 1.2,Verandah reduced to 0.9m as extended living room area,0,
35,"Part 3, Cl 3.4.6",ROOM_DIMENSIONS,VERANDAH,Minimum floor area,3,,sqm,RESIDENTIAL_GROUP_A1,ALL,When counted in carpet area calculation,RECOMMENDED,Advisory notice issued,Verandah area annotation must show minimum 3.0 sqm if included in carpet area,room.area >= 3.0,Narrow strip verandah at 1.8 sqm counted in carpet area,1,
36,"Part 3, Cl 3.4.7",ROOM_DIMENSIONS,BALCONY,Minimum width,1,,m,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Balcony width annotation must show minimum 1.0m clear projection,room.min_width >= 1.0,Decorative balcony at 0.6m projection not usable,1,CMDA allows 0.75m for utility balconies
37,"Part 3, Cl 3.4.7",ROOM_DIMENSIONS,BALCONY,Maximum projection,,1.5,m,RESIDENTIAL_GROUP_A1,ALL,Cantilever balcony without column support,MANDATORY,Structural safety notice issued,Balcony projection must not exceed 1.5m from building face line,balcony.projection <= 1.5,2.0m cantilever balcony exceeding structural safety limits,0,
38,"Part 3, Cl 3.4.7",ROOM_DIMENSIONS,BALCONY,Minimum railing height,1,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Safety notice and rectification order,Balcony railing must be annotated at minimum 1.0m height from finished floor,railing.height >= 1.0,Railing at 0.9m below safety minimum for upper floors,0,
39,"Part 3, Cl 3.4.8",ROOM_DIMENSIONS,STORE_ROOM,Minimum floor area,3,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",When provided as separate room,RECOMMENDED,Advisory notice issued,Store room must annotate minimum 3.0 sqm when designated on plan,room.area >= 3.0,Store at 1.5 sqm essentially a large cupboard mislabeled,1,
40,"Part 3, Cl 3.4.9",ROOM_DIMENSIONS,POOJA_ROOM,Minimum floor area,2,,sqm,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",When provided as separate room,RECOMMENDED,Advisory notice issued,Pooja room must annotate minimum 2.0 sqm when shown as enclosed room,room.area >= 2.0,Pooja room at 1.2 sqm inadequate for intended use,1,TN local practice: commonly included in 3BHK+ plans
41,"Part 3, Cl 3.4.10",ROOM_DIMENSIONS,UTILITY_AREA,Minimum floor area,2.5,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",When provided for washing machine and drying,RECOMMENDED,Advisory notice issued,Utility area must annotate minimum 2.5 sqm with plumbing points marked,room.area >= 2.5,Utility area at 1.5 sqm insufficient for washing machine placement,1,
42,"Part 3, Cl 3.4.11",ROOM_DIMENSIONS,ENTRANCE_FOYER,Minimum width,1.2,,m,RESIDENTIAL_GROUP_A1,"3BHK,4BHK",When provided as distinct entry zone,RECOMMENDED,Advisory notice issued,Foyer width must be annotated at minimum 1.2m from main door to living area,room.min_width >= 1.2,Foyer at 0.8m width not allowing door swing clearance,1,
43,"Part 3, Cl 3.6.1",ROOM_DIMENSIONS,MAIN_ENTRANCE,Minimum door width,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Main entrance door must be annotated as minimum 0.9m x 2.0m in door schedule,door.width >= 0.9,Main door at 0.8m width violating minimum for furniture movement,0,
44,"Part 3, Cl 3.6.1",ROOM_DIMENSIONS,MAIN_ENTRANCE,Minimum door height,2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Main entrance door height must show minimum 2.0m in door schedule and elevation,door.height >= 2.0,Non-standard main door at 1.95m height,0,
45,"Part 3, Cl 3.4.12",ROOM_DIMENSIONS,SERVANT_ROOM,Minimum floor area,4.5,,sqm,RESIDENTIAL_GROUP_A1,4BHK,When provided as separate servant quarter,RECOMMENDED,Advisory notice issued,Servant room must annotate minimum 4.5 sqm with attached toilet access shown,room.area >= 4.5,Servant room at 3.0 sqm below habitable room standards,1,CMDA requires servant room with attached toilet in premium housing
46,"Part 3, Cl 3.4.13",ROOM_DIMENSIONS,LOBBY,Minimum width,1.8,,m,RESIDENTIAL_GROUP_A2,ALL,Common lobby for apartment buildings,MANDATORY,Plan rejected by sanctioning authority,Common lobby width must be annotated at minimum 1.8m in apartment floor plans,room.min_width >= 1.8,Narrow lobby at 1.5m creating congestion at peak hours,0,
47,"Part 3, Cl 3.7.1",CORRIDOR_PASSAGE,INTERNAL_CORRIDOR,Minimum width,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Internal corridor width must be annotated at minimum 0.9m clear between walls,corridor.width >= 0.9,Internal corridor at 0.75m too narrow for two-way movement,0,
48,"Part 3, Cl 3.7.2",CORRIDOR_PASSAGE,ESCAPE_CORRIDOR,Minimum width,1.2,,m,RESIDENTIAL_GROUP_A1,ALL,Corridor serving as escape route,MANDATORY,Fire NOC denied,Escape corridor must be annotated at minimum 1.2m with fire escape arrow markings,corridor.width >= 1.2,Escape corridor at 1.0m not meeting fire safety egress width,0,TN Fire Service mandates 1.5m for buildings above 15m height
49,"Part 3, Cl 3.7.3",CORRIDOR_PASSAGE,COMMON_CORRIDOR,Minimum width,1.5,,m,RESIDENTIAL_GROUP_A2,ALL,Common corridor in apartment buildings,MANDATORY,Plan rejected by sanctioning authority,Common corridor width must show minimum 1.5m clear dimension in apartment plans,corridor.width >= 1.5,Common corridor at 1.2m in apartment building causing movement issues,0,
50,"Part 3, Cl 3.7.1",CORRIDOR_PASSAGE,INTERNAL_CORRIDOR,Minimum ceiling height,2.2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Corridor section must show minimum 2.2m clear height under beams and ducts,corridor.ceiling_height >= 2.2,Duct soffit bringing corridor height to 2.0m at services zone,0,
51,"Part 3, Cl 3.7.4",CORRIDOR_PASSAGE,EXTERNAL_CORRIDOR,Minimum width,1.2,,m,RESIDENTIAL_GROUP_A2,ALL,Open corridor/gallery in apartment buildings,MANDATORY,Plan rejected by sanctioning authority,External corridor must annotate 1.2m minimum clear width with railing detail,corridor.width >= 1.2,External gallery at 1.0m with service duct encroachment,0,
52,"Part 3, Cl 3.7.1",CORRIDOR_PASSAGE,INTERNAL_CORRIDOR,Maximum dead-end length,,7.5,m,RESIDENTIAL_GROUP_A1,ALL,Dead-end corridor without alternative exit,MANDATORY,Fire NOC denied,Dead-end corridor must not exceed 7.5m and must be annotated with length dimension,corridor.dead_end_length <= 7.5,Dead-end corridor at 10.0m without fire escape access,0,
53,"Part 3, Cl 3.7.5",CORRIDOR_PASSAGE,PASSAGE,Minimum width for wheelchair access,1.05,,m,RESIDENTIAL_GROUP_A1,ALL,When accessible design is required,RECOMMENDED,Advisory notice for accessibility compliance,Accessible passage must annotate 1.05m minimum clear width with wheelchair symbol,passage.width >= 1.05,Passage at 0.9m not meeting wheelchair accessibility standard,1,TN PWD Act requires accessible routes in all new multi-storey buildings
54,"Part 3, Cl 3.7.6",CORRIDOR_PASSAGE,INTERNAL_CORRIDOR,Maximum corridor length without natural light,,15,m,RESIDENTIAL_GROUP_A1,ALL,Internal corridor without windows,MANDATORY,Plan revision required,Corridors exceeding 15m must show window or skylight location for natural light,corridor.length_without_light <= 15.0,Long 18m internal corridor with no natural light provision,0,
55,"Part 3, Cl 3.8.1",STAIRCASE,STAIRCASE,Minimum width for residential,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,Individual residential up to 2 floors,MANDATORY,Plan rejected by sanctioning authority,Staircase width must annotate 0.9m clear between walls or wall and railing,stair.width >= 0.9,Staircase at 0.75m too narrow for furniture movement between floors,0,
56,"Part 3, Cl 3.8.1",STAIRCASE,STAIRCASE,Minimum width for multi-floor,1,,m,RESIDENTIAL_GROUP_A1,ALL,Residential building with more than 2 floors,MANDATORY,Plan rejected by sanctioning authority,Multi-storey staircase must annotate minimum 1.0m clear width in stair plan,stair.width >= 1.0,3-floor residential stair at 0.9m width violating multi-floor requirement,0,CMDA requires 1.2m for apartments above G+3
57,"Part 3, Cl 3.8.2",STAIRCASE,STAIRCASE,Maximum riser height,,190,mm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Stair section must annotate each riser not exceeding 190mm height,stair.riser_height <= 190,Riser at 200mm causing steeper stair than permitted,0,
58,"Part 3, Cl 3.8.2",STAIRCASE,STAIRCASE,Minimum tread depth,250,,mm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Stair section must annotate each tread at minimum 250mm going,stair.tread_depth >= 250,Tread at 220mm too shallow for safe foot placement,0,
59,"Part 3, Cl 3.8.3",STAIRCASE,STAIRCASE,Minimum headroom,2.2,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Stair section must show minimum 2.2m clear headroom measured vertically from nosing,stair.headroom >= 2.2,Headroom at 2.0m under landing slab above staircase,0,
60,"Part 3, Cl 3.8.4",STAIRCASE,STAIRCASE,Minimum landing width,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Landing width must be annotated equal to or greater than stair width (min 0.9m),stair.landing_width >= stair.width and stair.landing_width >= 0.9,Landing width at 0.8m less than stair width creating bottleneck,0,
61,"Part 3, Cl 3.8.5",STAIRCASE,STAIRCASE,Minimum railing height,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Safety notice and rectification order,Stair railing must be annotated at minimum 0.9m height from nosing line,stair.railing_height >= 0.9,Railing at 0.75m below safety requirement especially with children,0,
62,"Part 3, Cl 3.8.6",STAIRCASE,STAIRCASE,Maximum number of risers per flight,,15,mm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Each stair flight must not exceed 15 risers with intermediate landing shown,stair.risers_per_flight <= 15,Single flight of 18 risers without intermediate landing,0,
63,"Part 3, Cl 3.8.7",STAIRCASE,STAIRCASE,Maximum riser-tread relationship,,500,mm,RESIDENTIAL_GROUP_A1,ALL,2R + T formula must be between 550-700mm,MANDATORY,Plan revision required,Stair detail must show 2R+T calculation between 550-700mm range,(2 * stair.riser + stair.tread) >= 550 and (2 * stair.riser + stair.tread) <= 700,Riser-tread combination giving 2R+T = 520mm below comfort range,0,
64,"Part 3, Cl 3.8.8",STAIRCASE,STAIRCASE,Minimum width of winder treads at narrow end,150,,mm,RESIDENTIAL_GROUP_A1,ALL,Only for winding staircases,MANDATORY,Plan revision required,Winder treads must annotate minimum 150mm at narrow end in stair plan,stair.winder_narrow_end >= 150,Winder stair narrow end at 100mm creating tripping hazard,0,
65,"Part 3, Cl 3.8.9",STAIRCASE,FIRE_ESCAPE_STAIRCASE,Minimum width,1,,m,RESIDENTIAL_GROUP_A2,ALL,Dedicated fire escape staircase in apartments,MANDATORY,Fire NOC denied and plan rejected,Fire escape stair must annotate minimum 1.0m width with fire door locations,stair.width >= 1.0,Fire escape stair at 0.75m width violating fire safety norms,0,TN Fire Service requires 1.2m for buildings above 18m
66,"Part 3, Cl 3.8.10",STAIRCASE,FIRE_ESCAPE_STAIRCASE,Maximum travel distance to fire stair,,22.5,m,RESIDENTIAL_GROUP_A2,ALL,,MANDATORY,Fire NOC denied,Travel distance from any unit door to fire stair must be annotated and not exceed 22.5m,travel_distance_to_fire_stair <= 22.5,Corner units at 28m travel distance exceeding fire safety limit,0,
67,"Part 3, Cl 3.8.11",STAIRCASE,STAIRCASE,Minimum natural light opening,0.5,,sqm,RESIDENTIAL_GROUP_A1,ALL,Staircase must have natural light at each floor level,MANDATORY,Plan revision required,Staircase plan must show window of minimum 0.5 sqm at each floor landing,stair.light_opening >= 0.5,Enclosed staircase without any natural light openings,0,
68,"Part 3, Cl 3.8.12",STAIRCASE,STAIRCASE,Railing baluster spacing,,100,mm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Safety notice and rectification order,Railing detail must show baluster spacing not exceeding 100mm c/c,stair.baluster_spacing <= 100,Baluster spacing at 150mm allowing child head entrapment risk,0,
69,"Part 3, Cl 3.8.13",STAIRCASE,SPIRAL_STAIRCASE,Minimum diameter,1.5,,m,RESIDENTIAL_GROUP_A1,ALL,Only for secondary access or duplex internal stairs,MANDATORY,Plan revision required,Spiral staircase must annotate minimum 1.5m diameter in plan view,stair.diameter >= 1.5,Spiral stair at 1.2m diameter too tight for safe use,0,
70,"Part 8, Cl 8.4.1",VENTILATION,ANY_HABITABLE,Minimum window area as ratio of floor area,10,,percent,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Window schedule must show aggregate window area >= 10% of each habitable room floor area,total_window_area >= room.area * 0.10,Habitable room with 7% window-to-floor ratio due to shared wall constraints,0,
71,"Part 8, Cl 8.4.1",VENTILATION,ANY_HABITABLE,Minimum openable window area,5,,percent,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Window schedule must indicate openable portion >= 5% of room floor area,openable_window_area >= room.area * 0.05,Fixed glass windows with less than 50% openable portion,0,
72,"Part 8, Cl 8.4.2",VENTILATION,ANY_HABITABLE,Minimum ventilator area as ratio of floor area,5,,percent,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Ventilator area must be annotated >= 5% of floor area for each habitable room,ventilator_area >= room.area * 0.05,Ventilators omitted in air-conditioned room designs,0,
73,"Part 8, Cl 8.4.3",VENTILATION,KITCHEN,Minimum number of direct windows,1,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Kitchen plan must show at least one window opening to external air directly,kitchen.direct_windows >= 1,Kitchen with only a ventilator and no direct window to outside,0,
74,"Part 8, Cl 8.4.3",VENTILATION,KITCHEN,Cross-ventilation provision,,,sqm,RESIDENTIAL_GROUP_A1,ALL,Windows on two opposite or adjacent walls recommended,RECOMMENDED,Advisory notice issued,Kitchen plan should show window positions enabling cross-ventilation with airflow arrows,kitchen.has_cross_ventilation == True,Kitchen with single wall window and no cross-ventilation possibility,1,
75,"Part 8, Cl 8.4.3",VENTILATION,KITCHEN,Minimum exhaust provision,0.3,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Kitchen must show chimney/exhaust duct location with minimum 0.3 sqm opening area,kitchen.exhaust_area >= 0.3,No designated exhaust opening in kitchen plan,0,DTCP TN requires mechanical exhaust for internal kitchens
76,"Part 8, Cl 8.4.4",VENTILATION,BATHROOM_ATTACHED,Minimum ventilation opening,0.3,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Bathroom must annotate ventilation opening of minimum 0.3 sqm on plan or section,room.vent_opening >= 0.3,Attached bathroom with only exhaust fan and no natural ventilation opening,0,
77,"Part 8, Cl 8.4.4",VENTILATION,BATHROOM_COMMON,Minimum ventilation opening,0.3,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Common bathroom ventilation opening must be annotated at minimum 0.3 sqm,room.vent_opening >= 0.3,Common bathroom relying solely on mechanical ventilation,0,
