code_id,nbc_section,code_category,room_type,parameter_name,min_value,max_value,unit,occupancy_type,bhk_applicability,condition,enforcement_level,penalty_for_violation,drawing_requirement,compliance_check,common_violation,waiver_possible,tn_local_amendment
78,"Part 8, Cl 8.4.5",VENTILATION,WC,Minimum ventilation opening,0.15,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,WC must show ventilation opening of minimum 0.15 sqm annotated on plan,room.vent_opening >= 0.15,WC with no ventilation opening relying on door gap only,0,
79,"Part 8, Cl 8.4.6",VENTILATION,MASTER_BEDROOM,Minimum air changes per hour,1,,ACH,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Ventilation calculation sheet must show minimum 1.0 ACH for master bedroom,room.ach >= 1.0,Bedroom with inadequate window sizing for natural ventilation ACH,1,
80,"Part 8, Cl 8.4.6",VENTILATION,BEDROOM,Minimum air changes per hour,1,,ACH,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Ventilation calculation must show minimum 1.0 ACH for all bedrooms,room.ach >= 1.0,Interior bedroom with single small window achieving only 0.5 ACH,1,
81,"Part 8, Cl 8.4.7",VENTILATION,KITCHEN,Minimum air changes per hour,6,,ACH,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Kitchen ventilation must achieve minimum 6.0 ACH shown in services calculation,room.ach >= 6.0,Kitchen with single window achieving only 2.0 ACH without mechanical exhaust,0,
82,"Part 8, Cl 8.4.8",VENTILATION,BATHROOM_ATTACHED,Minimum air changes per hour,6,,ACH,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Bathroom ventilation calculation must show minimum 6.0 ACH,room.ach >= 6.0,Internal bathroom without window achieving 0 natural ACH,0,
83,"Part 8, Cl 8.4.9",VENTILATION,LIVING_ROOM,Minimum window area ratio,10,,percent,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Living room window aggregate area must be >= 10% of floor area annotated on schedule,total_window_area >= room.area * 0.10,Living room with only one small window due to shared party wall,0,
84,"Part 8, Cl 8.4.10",VENTILATION,STAIRCASE,Minimum ventilation opening per floor,0.5,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Staircase must show ventilation opening of 0.5 sqm minimum at each floor level,stair.vent_opening_per_floor >= 0.5,Enclosed fire-rated staircase with no natural ventilation at intermediate floors,0,
85,"Part 8, Cl 8.4.11",VENTILATION,ANY_HABITABLE,Minimum window sill height,0.6,,m,RESIDENTIAL_GROUP_A1,ALL,Ground floor habitable rooms,RECOMMENDED,Advisory notice issued,Window schedule must annotate sill height minimum 0.6m from finished floor for ground floor,window.sill_height >= 0.6,Floor-level window without safety railing on ground floor,1,
86,"Part 8, Cl 8.4.12",VENTILATION,ANY_HABITABLE,Maximum window sill height for ventilation,,1.2,m,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Window sill height must not exceed 1.2m to ensure effective ventilation at occupant level,window.sill_height <= 1.2,Window sill at 1.5m providing only high-level ventilation,1,
87,"Part 8, Cl 8.4.13",VENTILATION,UTILITY_AREA,Minimum ventilation opening,0.3,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Utility area must show ventilation opening of minimum 0.3 sqm for moisture control,room.vent_opening >= 0.3,Enclosed utility with no ventilation causing dampness and mould,0,
88,"Part 8, Cl 8.4.14",VENTILATION,BASEMENT,Minimum mechanical ventilation capacity,6,,ACH,RESIDENTIAL_GROUP_A2,ALL,Basement parking and storage areas,MANDATORY,Fire NOC denied and occupancy certificate withheld,Basement plan must show mechanical ventilation system achieving 6.0 ACH minimum,basement.mechanical_ach >= 6.0,Basement with only 2 exhaust fans insufficient for parking area ventilation,0,
89,"Part 8, Cl 8.4.15",VENTILATION,ANY_HABITABLE,Minimum window height,1,,m,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Window elevation must annotate minimum 1.0m height for effective daylight and air entry,window.height >= 1.0,Horizontal strip window at 0.45m height providing minimal ventilation,1,
90,"Part 8, Cl 8.3.1",LIGHTING,LIVING_ROOM,Minimum daylight factor,1,,percent,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Daylight analysis or window sizing must ensure 1.0% daylight factor annotated,room.daylight_factor >= 1.0,Living room with north-facing small window achieving 0.5% daylight factor,0,
91,"Part 8, Cl 8.3.2",LIGHTING,MASTER_BEDROOM,Minimum illumination level,100,,lux,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Electrical layout must note minimum 100 lux ambient lighting for master bedroom,room.illumination >= 100,Single light point providing only 60 lux at desk level,1,
92,"Part 8, Cl 8.3.2",LIGHTING,BEDROOM,Minimum illumination level,100,,lux,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Electrical plan must show light points achieving minimum 100 lux for bedrooms,room.illumination >= 100,Under-lit bedroom with single tube light for large room,1,
93,"Part 8, Cl 8.3.3",LIGHTING,KITCHEN,Minimum illumination level,200,,lux,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Kitchen electrical layout must show task lighting achieving minimum 200 lux at platform,room.illumination >= 200,Kitchen with single ceiling light at 80 lux on countertop,1,
94,"Part 8, Cl 8.3.4",LIGHTING,BATHROOM_ATTACHED,Minimum illumination level,100,,lux,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Bathroom electrical plan must show waterproof light fitting achieving 100 lux,room.illumination >= 100,Single dim bulb in bathroom providing 40 lux,1,
95,"Part 8, Cl 8.3.5",LIGHTING,STAIRCASE,Minimum illumination level,50,,lux,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Safety notice and rectification order,Staircase electrical plan must show light points achieving 50 lux on treads,stair.illumination >= 50,Dark staircase landing with no dedicated light point,0,
96,"Part 8, Cl 8.3.6",LIGHTING,INTERNAL_CORRIDOR,Minimum illumination level,50,,lux,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Corridor electrical plan must show minimum 50 lux lighting at floor level,corridor.illumination >= 50,Long corridor with single light at one end creating dark zones,0,
97,"Part 8, Cl 8.3.7",LIGHTING,ANY_HABITABLE,Window glass area for daylight,10,,percent,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Clear glass area of windows must be >= 10% of room floor area for natural daylight,clear_glass_area >= room.area * 0.10,Frosted glass windows reducing effective daylight penetration below 10%,0,
98,"Part 8, Cl 8.3.8",LIGHTING,LIVING_ROOM,Minimum illumination level,150,,lux,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Living room electrical plan must provide minimum 150 lux ambient illumination,room.illumination >= 150,Living room with insufficient artificial lighting for evening use,1,
99,"Part 8, Cl 8.3.9",LIGHTING,ENTRANCE_FOYER,Minimum illumination level,100,,lux,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Entrance foyer electrical plan must show 100 lux minimum lighting,room.illumination >= 100,Dark entrance foyer with no dedicated light point,1,
100,"Part 8, Cl 8.3.10",LIGHTING,COMMON_CORRIDOR,Minimum illumination level,50,,lux,RESIDENTIAL_GROUP_A2,ALL,,MANDATORY,Safety notice and rectification order,Common corridor lighting must achieve 50 lux with emergency lighting backup,corridor.illumination >= 50,Common corridor in apartment with only 20 lux from energy-saving bulbs,0,
101,"Part 8, Cl 8.3.11",LIGHTING,PARKING_AREA,Minimum illumination level,50,,lux,RESIDENTIAL_GROUP_A2,ALL,,MANDATORY,Safety notice and rectification order,Parking area lighting plan must show 50 lux minimum at floor level,parking.illumination >= 50,Basement parking with dark corners at 15 lux posing safety risks,0,
102,"Part 8, Cl 8.3.12",LIGHTING,WC,Minimum illumination level,50,,lux,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,WC electrical plan must show minimum 50 lux lighting,room.illumination >= 50,WC with no light point relying on borrowed light from bathroom,1,
103,"Part 8, Cl 8.3.13",LIGHTING,DINING_ROOM,Minimum illumination level,150,,lux,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Dining area electrical plan must show 150 lux at table height,room.illumination >= 150,Dining area with indirect lighting only at 70 lux,1,
104,"Part 8, Cl 8.3.14",LIGHTING,ANY_HABITABLE,Emergency lighting provision,10,,lux,RESIDENTIAL_GROUP_A2,ALL,For common areas in apartment buildings,MANDATORY,Fire NOC denied,Emergency lighting plan must show 10 lux minimum in escape routes during power failure,emergency_lux >= 10,No emergency lighting in common areas of apartment building,0,
105,"Part 4, Cl 4.4.1",FIRE_SAFETY,MAIN_ENTRANCE,Minimum main entrance width for fire access,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Fire NOC denied,Main entrance door must annotate 0.9m clear opening width for emergency egress,door.clear_width >= 0.9,Main door obstructed by shoe rack reducing clear opening to 0.7m,0,
106,"Part 4, Cl 4.4.2",FIRE_SAFETY,ALL,Maximum travel distance to exit,,22.5,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Fire NOC denied,Travel distance from remotest point to nearest exit must be annotated and <= 22.5m,max_travel_distance <= 22.5,Corner room at 30m from nearest staircase exit,0,
107,"Part 4, Cl 4.4.3",FIRE_SAFETY,ALL,Minimum number of exits per floor,2,,sqm,RESIDENTIAL_GROUP_A2,ALL,For apartment buildings,MANDATORY,Fire NOC denied and plan rejected,Floor plan must show minimum 2 independent exits annotated with exit signage locations,floor.exit_count >= 2,Single staircase serving all units on a floor in apartment building,0,
108,"Part 4, Cl 4.4.4",FIRE_SAFETY,FIRE_ESCAPE_STAIRCASE,Fire door minimum rating,60,,mm,RESIDENTIAL_GROUP_A2,ALL,Fire door rating in minutes,MANDATORY,Fire NOC denied,Fire stair door must be annotated as 60-minute fire-rated with self-closing mechanism,fire_door.rating_minutes >= 60,Ordinary wooden door used instead of fire-rated door at staircase entry,0,
109,"Part 4, Cl 4.4.5",FIRE_SAFETY,ALL,Fire extinguisher provision per floor area,1,,per_sqm,RESIDENTIAL_GROUP_A2,ALL,1 extinguisher per 200 sqm floor area,MANDATORY,Fire NOC denied,Fire safety plan must show extinguisher locations at 1 per 200 sqm floor area,floor.extinguishers >= math.ceil(floor.area / 200),No fire extinguisher placement shown on floor plan for apartment common areas,0,
110,"Part 4, Cl 4.4.6",FIRE_SAFETY,KITCHEN,Fire-resistant wall between kitchen and gas bank,120,,mm,RESIDENTIAL_GROUP_A2,ALL,When LPG bank room is provided,MANDATORY,Fire NOC denied,Gas bank room wall must be annotated as 120mm fire-resistant construction,gas_bank_wall.thickness >= 120 and gas_bank_wall.fire_rated == True,Non-fire-rated partition between kitchen area and gas bank storage,0,
111,"Part 4, Cl 4.4.7",FIRE_SAFETY,ESCAPE_CORRIDOR,Smoke detector spacing,,15,m,RESIDENTIAL_GROUP_A2,ALL,,MANDATORY,Fire NOC denied,Fire safety plan must show smoke detectors at maximum 15m spacing in corridors,smoke_detector.spacing <= 15,No smoke detectors in common corridor of apartment building,0,
112,"Part 4, Cl 4.4.8",FIRE_SAFETY,ALL,Fire alarm system provision,,,sqm,RESIDENTIAL_GROUP_A2,ALL,For buildings above 15m height,MANDATORY,Fire NOC denied and occupancy certificate withheld,Fire alarm system layout must be shown on electrical plan with manual call points,building.has_fire_alarm == True,No fire alarm system in 5-storey apartment building,0,TN Fire Service mandates fire alarm for all buildings above G+3
113,"Part 4, Cl 4.4.9",FIRE_SAFETY,ALL,Minimum fire tender access width,6,,m,RESIDENTIAL_GROUP_A2,ALL,Access road for fire tender to building,MANDATORY,Fire NOC denied,Site plan must show 6.0m minimum access road for fire tender annotated,fire_access.width >= 6.0,Narrow 4.0m access road preventing fire tender approach,0,
114,"Part 4, Cl 4.4.10",FIRE_SAFETY,ALL,Wet riser provision,,,m,RESIDENTIAL_GROUP_A2,ALL,For buildings above 15m height,MANDATORY,Fire NOC denied,Wet riser location must be shown on plan near staircase with hose reel locations,building.has_wet_riser == True,No wet riser system in 6-storey apartment building,0,
115,"Part 4, Cl 4.4.11",FIRE_SAFETY,ALL,Emergency exit signage illumination,1,,lux,RESIDENTIAL_GROUP_A2,ALL,,MANDATORY,Fire NOC denied,Exit signs must be shown at all escape route decision points with self-luminous annotation,exit_sign.illumination >= 1.0,Non-illuminated exit signs in apartment common areas,0,
116,"Part 4, Cl 4.4.12",FIRE_SAFETY,BALCONY,Fire separation between units,1,,m,RESIDENTIAL_GROUP_A2,ALL,Minimum separation between adjacent unit balconies,MANDATORY,Fire NOC denied,Adjacent balconies must show 1.0m fire-rated separation wall on plan,balcony.fire_separation >= 1.0,Adjacent balconies with no separation wall allowing fire spread,0,
117,"Part 4, Cl 4.4.13",FIRE_SAFETY,ALL,Refuge area per floor,15,,sqm,RESIDENTIAL_GROUP_A2,ALL,For buildings above 24m height,MANDATORY,Fire NOC denied and plan rejected,Refuge area must be annotated at minimum 15 sqm per refuge floor in high-rise,refuge_area.area >= 15.0,No designated refuge area in high-rise residential tower,0,TN Fire Service mandates refuge area every 5th floor above 24m
118,"Part 4, Cl 4.4.14",FIRE_SAFETY,KITCHEN,Fire blanket provision,,,sqm,RESIDENTIAL_GROUP_A1,ALL,Recommended for all kitchens,RECOMMENDED,Advisory notice issued,Kitchen safety annotation should indicate fire blanket provision location,kitchen.has_fire_blanket == True,No fire safety provision annotation in kitchen area,1,
119,"Part 4, Cl 4.4.15",FIRE_SAFETY,LOBBY,Pressurized lobby for fire stair,50,,sqm,RESIDENTIAL_GROUP_A2,ALL,Pressurization in pascals for fire stair lobby,MANDATORY,Fire NOC denied,Fire stair lobby must be annotated as pressurized with 50 Pa minimum positive pressure,fire_lobby.pressure >= 50,Fire stair lobby without pressurization system in high-rise building,0,TN Fire Service requires pressurized lobbies for buildings above 30m
120,"Part 9, Cl 9.2.1",SANITATION,BATHROOM_ATTACHED,Minimum number of fixtures,2,,sqm,RESIDENTIAL_GROUP_A1,ALL,WC pan and shower/tap as minimum,MANDATORY,Plan revision required,Bathroom plan must show minimum 2 fixture locations: WC and shower point,bathroom.fixture_count >= 2,Attached bathroom shown without WC fixture location,0,
121,"Part 9, Cl 9.2.2",SANITATION,BATHROOM_COMMON,Floor trap location,1,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Bathroom plan must show floor trap location with slope direction arrows,bathroom.has_floor_trap == True,Bathroom without floor trap causing waterlogging,0,
122,"Part 9, Cl 9.2.3",SANITATION,KITCHEN,Sink provision,1,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Kitchen plan must show sink location with water supply and waste pipe connection,kitchen.has_sink == True,Kitchen plan without designated sink location and plumbing point,0,
123,"Part 9, Cl 9.2.4",SANITATION,ALL,Septic tank size per person,1,,sqm,RESIDENTIAL_GROUP_A1,ALL,For individual houses without sewer connection,MANDATORY,Plan rejected by local body,Site plan must show septic tank location with size based on 1.0 sqm per person capacity,septic.area_per_person >= 1.0,Undersized septic tank for 4-bedroom house with 6 occupants,0,DTCP TN mandates connection to underground drainage where available
124,"Part 9, Cl 9.2.5",SANITATION,ALL,Minimum distance of septic tank from building,1.5,,m,RESIDENTIAL_GROUP_A1,ALL,When septic tank is required,MANDATORY,Plan rejected by local body,Septic tank must be annotated at minimum 1.5m from building foundation on site plan,septic.distance_from_building >= 1.5,Septic tank at 0.5m from building foundation wall,0,
125,"Part 9, Cl 9.2.6",SANITATION,BATHROOM_ATTACHED,Anti-siphon trap provision,,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plumbing compliance notice issued,Plumbing diagram must show anti-siphon trap on each waste connection,bathroom.has_anti_siphon == True,No anti-siphon traps causing sewer gas entry into bathrooms,0,
126,"Part 9, Cl 9.2.7",SANITATION,ALL,Rainwater harvesting tank minimum capacity,1,,sqm,RESIDENTIAL_GROUP_A1,ALL,Per 100 sqm roof area in kiloliters,MANDATORY,Plan rejected by CMDA/DTCP,Site plan must show RWH tank location with capacity based on roof area calculation,rwh.capacity >= roof_area / 100,No rainwater harvesting provision on site plan,0,TN mandatory RWH for all buildings as per TN District Municipalities Act
127,"Part 9, Cl 9.2.8",SANITATION,UTILITY_AREA,Washing machine drain provision,,,sqm,RESIDENTIAL_GROUP_A1,"2BHK,3BHK,4BHK",,RECOMMENDED,Advisory notice issued,Utility area must show dedicated drain point for washing machine waste water,utility.has_wm_drain == True,No washing machine drain point leading to floor drain overflow,1,
128,"Part 9, Cl 9.2.9",SANITATION,ALL,Grey water recycling provision,,,sqm,RESIDENTIAL_GROUP_A2,ALL,For apartment buildings with >20 units,RECOMMENDED,Advisory notice issued,Plumbing layout must show grey water recycling system with dual piping annotation,building.has_grey_water_recycling == True,Large apartment complex without grey water recycling system,1,CMDA recommends grey water recycling for projects above 20000 sqft
129,"Part 9, Cl 9.2.10",SANITATION,ALL,STP provision for apartments,,,sqm,RESIDENTIAL_GROUP_A2,ALL,For apartment buildings with >50 units,MANDATORY,Environmental clearance denied,Site plan must show STP location with capacity calculation for total units,building.has_stp == True,Large apartment project without sewage treatment plant,0,TNPCB mandates STP for residential projects above 20000 sqft
130,"Part 3, Cl 3.9.1",ACCESSIBILITY,MAIN_ENTRANCE,Ramp provision at main entrance,,,m,RESIDENTIAL_GROUP_A2,ALL,When entrance has level difference,MANDATORY,Accessibility compliance notice issued,Main entrance must show ramp with 1:12 gradient and handrails annotated,ramp.gradient <= 1/12,Steps-only entrance without ramp provision for wheelchair access,0,TN PWD Act requires ramp access for all multi-storey residential
131,"Part 3, Cl 3.9.2",ACCESSIBILITY,MAIN_ENTRANCE,Ramp minimum width,1.2,,m,RESIDENTIAL_GROUP_A2,ALL,,MANDATORY,Plan revision required,Ramp must annotate minimum 1.2m clear width between handrails,ramp.width >= 1.2,Narrow ramp at 0.9m not accommodating wheelchair comfortably,0,
132,"Part 3, Cl 3.9.3",ACCESSIBILITY,LOBBY,Wheelchair turning radius,1.5,,m,RESIDENTIAL_GROUP_A2,ALL,,MANDATORY,Accessibility compliance notice issued,Lobby must show 1.5m diameter clear turning circle for wheelchair maneuverability,lobby.turning_radius >= 1.5,Lobby too cramped for wheelchair 360-degree turn,0,
133,"Part 3, Cl 3.9.4",ACCESSIBILITY,ALL,Lift provision,,,m,RESIDENTIAL_GROUP_A2,ALL,For buildings with more than 3 floors (G+3),MANDATORY,Plan rejected by sanctioning authority,Lift shaft must be shown on plan with minimum 1.1m x 1.3m car size annotated,building.has_lift == True and lift.car_width >= 1.1 and lift.car_depth >= 1.3,G+4 apartment building without lift provision,0,CMDA mandates lift for all buildings above G+2 in Chennai
134,"Part 3, Cl 3.9.5",ACCESSIBILITY,BATHROOM_COMMON,Accessible bathroom provision,3.5,,sqm,RESIDENTIAL_GROUP_A2,ALL,At least one accessible bathroom on ground floor,MANDATORY,Accessibility compliance notice issued,Accessible bathroom must show 3.5 sqm minimum with grab bar and wheelchair space annotated,accessible_bathroom.area >= 3.5,No accessible bathroom on ground floor of apartment building,0,
135,"Part 3, Cl 3.9.6",ACCESSIBILITY,ALL,Tactile floor indicators at stairs,,,m,RESIDENTIAL_GROUP_A2,ALL,,RECOMMENDED,Advisory notice issued,Tactile warning strips must be annotated 300mm before stair nosing on landing,stair.has_tactile_indicators == True,No tactile warning indicators at staircase landings,1,
136,"Part 3, Cl 3.9.7",ACCESSIBILITY,MAIN_ENTRANCE,Accessible door handle height,0.9,1.1,m,RESIDENTIAL_GROUP_A2,ALL,,RECOMMENDED,Advisory notice issued,Door hardware schedule must show lever handles at 0.9m-1.1m height from finished floor,door.handle_height >= 0.9 and door.handle_height <= 1.1,Door handle at 1.2m height not reachable from wheelchair,1,
137,"Part 3, Cl 3.9.8",ACCESSIBILITY,ALL,Electrical switch height for accessibility,0.9,1.2,m,RESIDENTIAL_GROUP_A2,ALL,,RECOMMENDED,Advisory notice issued,Electrical layout must show switches at 0.9m-1.2m height from finished floor,switch.height >= 0.9 and switch.height <= 1.2,Switches at 1.4m height not reachable from wheelchair,1,
138,"Part 3, Cl 3.9.9",ACCESSIBILITY,PARKING_AREA,Accessible parking space width,3.6,,m,RESIDENTIAL_GROUP_A2,ALL,,MANDATORY,Accessibility compliance notice issued,At least 2% of parking spaces must be 3.6m wide annotated as accessible,accessible_parking.width >= 3.6,No designated accessible parking spaces in apartment basement,0,CMDA requires 3% accessible parking for large residential projects
139,"Part 3, Cl 3.9.10",ACCESSIBILITY,ALL,Signage for accessible facilities,,,m,RESIDENTIAL_GROUP_A2,ALL,,RECOMMENDED,Advisory notice issued,"International accessibility symbol must be annotated at ramp, lift, and accessible toilet locations",building.has_accessibility_signage == True,No accessibility signage at ramp or lift entrances,1,
140,"Part 6, Cl 6.2.1",STRUCTURAL,ALL,Minimum external wall thickness,200,,mm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Structural safety notice issued,Wall section must annotate 200mm minimum external wall thickness in floor plan,wall.external_thickness >= 200,External wall at 150mm single brick not meeting structural and thermal requirements,0,
141,"Part 6, Cl 6.2.2",STRUCTURAL,ALL,Minimum internal wall thickness,100,,mm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan revision required,Internal partition walls must annotate 100mm minimum thickness on plan,wall.internal_thickness >= 100,Internal partition at 75mm dry wall not meeting sound insulation requirement,0,
142,"Part 6, Cl 6.2.3",STRUCTURAL,ALL,Minimum plinth height from ground,0.45,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Plan rejected by sanctioning authority,Section drawing must show plinth at minimum 0.45m above surrounding ground level,building.plinth_height >= 0.45,Plinth at 0.3m causing rain water ingress during monsoon,0,DTCP TN requires 0.60m plinth in flood-prone areas
143,"Part 6, Cl 6.2.4",STRUCTURAL,ALL,Maximum column spacing for load-bearing,,4.5,m,RESIDENTIAL_GROUP_A1,ALL,For conventional load-bearing construction,MANDATORY,Structural safety notice issued,Structural plan must show load-bearing walls at maximum 4.5m c/c spacing,column.spacing <= 4.5,Load-bearing wall spacing at 5.5m causing excessive slab deflection,0,
144,"Part 6, Cl 6.2.5",STRUCTURAL,ALL,Minimum slab thickness,100,,mm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Structural safety notice issued,Structural section must annotate minimum 100mm slab thickness for residential floors,slab.thickness >= 100,Slab at 75mm thickness in non-engineered construction,0,
145,"Part 6, Cl 6.3.1",FOUNDATION,ALL,Minimum foundation depth,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Structural safety notice issued,Foundation section must show minimum 0.9m depth from natural ground level,foundation.depth >= 0.9,Shallow foundation at 0.6m in black cotton soil area,0,TN soil conditions may require deeper foundations per geotechnical report
146,"Part 6, Cl 6.3.2",FOUNDATION,ALL,Minimum footing width for single storey,0.6,,m,RESIDENTIAL_GROUP_A1,ALL,For G+0 residential construction,MANDATORY,Structural safety notice issued,Foundation plan must show footing width minimum 0.6m for single storey,footing.width >= 0.6,Narrow footing at 0.45m for single storey load-bearing construction,0,
147,"Part 6, Cl 6.3.3",FOUNDATION,ALL,Minimum footing width for multi-storey,0.9,,m,RESIDENTIAL_GROUP_A1,ALL,For G+1 and above residential construction,MANDATORY,Structural safety notice issued,Foundation plan must show footing width minimum 0.9m for multi-storey construction,footing.width >= 0.9,Multi-storey building with undersized 0.6m footing on weak soil,0,
148,"Part 9, Cl 9.3.1",PLUMBING,ALL,Minimum water supply per person per day,135,,sqm,RESIDENTIAL_GROUP_A1,ALL,135 liters per person per day for residential,MANDATORY,Plan revision required,Plumbing design must show water tank sizing based on 135 lpcd minimum,water_supply.lpcd >= 135,Water tank sized for only 80 lpcd due to space constraints,0,CMWSSB Chennai mandates 135 lpcd supply calculation
149,"Part 9, Cl 9.3.2",PLUMBING,ALL,Overhead tank minimum capacity,,,sqm,RESIDENTIAL_GROUP_A1,ALL,Capacity for half-day storage at 135 lpcd,MANDATORY,Plan revision required,OHT location and capacity must be annotated on terrace plan,oht.capacity >= (occupants * 135) / 2,Undersized overhead tank for family of 5 providing only 4 hours storage,0,
150,"Part 9, Cl 9.3.3",PLUMBING,ALL,Sump minimum capacity,,,sqm,RESIDENTIAL_GROUP_A1,ALL,Capacity for one-day storage at 135 lpcd,MANDATORY,Plan revision required,Sump location and capacity must be shown on foundation plan,sump.capacity >= occupants * 135,No sump provision in individual house plan relying on direct supply,0,
151,"Part 9, Cl 9.3.4",PLUMBING,BATHROOM_ATTACHED,Minimum water pressure at fixture,0.7,,m,RESIDENTIAL_GROUP_A1,ALL,0.7 bar minimum at highest fixture,MANDATORY,Plumbing compliance notice issued,Plumbing riser diagram must show pressure calculation at top floor fixture,fixture.pressure >= 0.7,Insufficient water pressure at top floor bathroom in 4-storey building,0,
152,"Part 8, Cl 8.5.1",ELECTRICAL,ALL,Minimum power points per bedroom,2,,sqm,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Electrical layout must show minimum 2 socket outlets per bedroom,room.power_points >= 2,Bedroom with single power point requiring extension cords,1,
153,"Part 8, Cl 8.5.2",ELECTRICAL,KITCHEN,Minimum power points,3,,sqm,RESIDENTIAL_GROUP_A1,ALL,,RECOMMENDED,Advisory notice issued,Kitchen electrical layout must show minimum 3 dedicated power points for appliances,kitchen.power_points >= 3,Kitchen with only 1 power point for multiple cooking appliances,1,
154,"Part 8, Cl 8.5.3",ELECTRICAL,ALL,Earth leakage circuit breaker provision,,,sqm,RESIDENTIAL_GROUP_A1,ALL,,MANDATORY,Electrical safety notice issued,Electrical SLD must show ELCB/RCCB for each distribution board,building.has_elcb == True,No ELCB protection in residential electrical distribution board,0,TANGEDCO requires ELCB for all new residential service connections
